"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2021-22","Fall","AFST","1714","Intro African American Studies","Dhillon-Jamerson","3.74","88.9","0","0","0","0","0","0","11.1","0","0","0","0","0","9","93136","  3"
"2022-23","Spring","AFST","1714","Intro African American Studies","Strozier","3.65","36.4","45.5","0","9.1","9.1","0","0","0","0","0","0","0","0","11","10238","  3"
"2020-21","Fall","AFST","1714","Intro African American Studies","Montgomery","3.13","16.7","41.7","0","8.3","16.7","0","0","0","16.7","0","0","0","0","12","92305","  3"
"2019-20","Spring","AFST","1714","Intro African American Studies","Baldwin","3.61","75","0","0","12.5","0","0","6.3","6.3","0","0","0","0","0","16","10227","  3"
"2021-22","Spring","AFST","1714","Intro African American Studies","Dhillon-Jamerson","3.37","30","10","25","20","10","0","5","0","0","0","0","0","0","20","22219","  3"
"2018-19","Fall","AFST","1714","Intro African American Studies","Baldwin","3.59","42.9","19","23.8","9.5","0","0","4.8","0","0","0","0","0","0","21","90807","  3"
"2020-21","Spring","AFST","1714","Intro African American Studies","Montgomery","2.71","14.3","19","23.8","9.5","0","9.5","4.8","0","0","4.8","0","14.3","0","21","10225","  3"
"2018-19","Spring","AFST","1714","Intro African American Studies","Baldwin","3.52","52.2","8.7","13","4.3","13","8.7","0","0","0","0","0","0","1","23","19343","  3"
"2020-21","Fall","AFST","1714","Intro African American Studies","Baldwin","3.61","78.3","4.3","4.3","0","0","0","8.7","0","0","0","0","4.3","0","23","80204","  3"
"2021-22","Spring","AFST","1714","Intro African American Studies","Dhillon-Jamerson","3.46","54.2","12.5","8.3","12.5","4.2","0","0","4.2","0","0","0","4.2","0","24","10230","  3"
"2019-20","Fall","AFST","1714","Intro African American Studies","Baldwin","3.45","53.8","3.8","15.4","19.2","0","0","0","0","0","3.8","3.8","0","0","26","80203","  3"
"2022-23","Fall","AFST","1714","Intro African American Studies","Strozier","3.92","96.2","0","0","0","0","0","3.8","0","0","0","0","0","0","26","80221","  3"
