Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
2021-22,Spring,AHRM,1014,Design and Art for Consumers,Walsh,3.96,91.1,6.7,2.2,0,0,0,0,0,0,0,0,0,0,45,10249,3
2022-23,Spring,AHRM,1014,Design and Art for Consumers,Walsh,3.85,80,8.9,6.7,2.2,0,0,0,2.2,0,0,0,0,0,45,10257,3
2019-20,Spring,AHRM,1014,Design and Art for Consumers,Walsh,3.9,96,0,0,2,0,0,0,0,0,0,0,2,0,50,10245,3
2020-21,Spring,AHRM,1014,Design and Art for Consumers,Walsh,3.9,84.3,9.8,0,3.9,0,2,0,0,0,0,0,0,0,51,10244,3
2019-20,Spring,AHRM,1014,Design and Art for Consumers,Walsh,3.96,94.2,3.8,0,0,1.9,0,0,0,0,0,0,0,0,52,20687,3
2021-22,Fall,AHRM,1014,Design and Art for Consumers,Walsh,3.63,73.6,11.3,0,3.8,1.9,1.9,0,1.9,0,0,3.8,1.9,0,53,92626,3
2019-20,Spring,AHRM,1014,Design and Art for Consumers,Walsh,3.97,96.3,1.9,0,0,1.9,0,0,0,0,0,0,0,0,54,21374,3
2020-21,Spring,AHRM,1014,Design and Art for Consumers,Walsh,3.88,87,7.4,0,0,1.9,1.9,0,1.9,0,0,0,0,0,54,10246,3
2021-22,Fall,AHRM,1014,Design and Art for Consumers,Walsh,3.82,76.4,14.5,3.6,1.8,0,0,1.8,0,0,0,1.8,0,0,55,91960,3
2020-21,Spring,AHRM,1014,Design and Art for Consumers,Walsh,3.94,89.3,7.1,0,3.6,0,0,0,0,0,0,0,0,0,56,10245,3
2022-23,Fall,AHRM,1014,Design and Art for Consumers,Walsh,3.81,84.2,7,1.8,0,3.5,0,0,1.8,0,0,0,1.8,1,57,80242,3
2020-21,Fall,AHRM,1014,Design and Art for Consumers,Walsh,3.74,84.5,5.2,1.7,1.7,1.7,0,0,0,0,0,1.7,3.4,0,58,90974,3
2021-22,Fall,AHRM,1014,Design and Art for Consumers,Walsh,3.81,84.5,8.6,0,0,1.7,1.7,0,0,1.7,0,0,1.7,0,58,80238,3
2022-23,Fall,AHRM,1014,Design and Art for Consumers,Walsh,3.77,84.5,6.9,0,1.7,1.7,0,1.7,0,0,0,0,3.4,0,58,80241,3
2019-20,Fall,AHRM,1014,Design and Art for Consumers,Walsh,3.83,72.9,13.6,5.1,5.1,3.4,0,0,0,0,0,0,0,0,59,80219,3
2020-21,Fall,AHRM,1014,Design and Art for Consumers,Walsh,3.91,90,8.3,0,0,0,0,0,0,0,0,0,1.7,0,60,80225,3
2021-22,Fall,AHRM,1014,Design and Art for Consumers,Walsh,3.83,83.3,5,5,1.7,0,0,5,0,0,0,0,0,0,60,80239,3
2019-20,Fall,AHRM,1014,Design and Art for Consumers,Walsh,3.84,80.3,13.1,3.3,0,0,0,1.6,0,0,0,0,1.6,0,61,90198,3
2020-21,Fall,AHRM,1014,Design and Art for Consumers,Walsh,3.65,67.7,19.4,4.8,0,0,1.6,0,0,0,0,3.2,3.2,0,62,80224,3
2022-23,Fall,AHRM,1014,Design and Art for Consumers,Walsh,3.54,65.6,12.5,4.7,3.1,3.1,1.6,3.1,0,1.6,0,0,4.7,0,64,80243,3
2022-23,Spring,AHRM,1014,Design and Art for Consumers,Walsh,3.74,68.1,16.8,6.7,3.4,0,0.8,1.7,0.8,0,0.8,0,0.8,1,119,10258,3
2021-22,Spring,AHRM,1014,Design and Art for Consumers,Walsh,3.83,79.8,7.8,6.2,0.8,2.3,0.8,0.8,1.6,0,0,0,0,1,129,10248,3
2018-19,Spring,AHRM,1014,Design and Art for Consumers,Jones,3.22,17,21.3,12.8,29.8,8.5,4.3,4.3,0,0,2.1,0,0,2,47,10226,3
2018-19,Fall,AHRM,1014,Design and Art for Consumers,Chittenden,3.44,37.9,20.7,12.1,13.8,8.6,3.4,1.7,0,0,0,0,1.7,0,58,80209,3
