"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2019-20","Spring","AHRM","2404","Consumer Rights","Fisher","3.51","43.2","20.7","11.7","12.6","4.5","1.8","4.5","0","0","0","0","0.9","0","111","10246","  3"
"2021-22","Fall","AHRM","2404","Consumer Rights","Fisher","3.07","37.9","0.8","7.3","30.6","0.8","2.4","8.9","0.8","4","4.8","0","1.6","2","124","80243","  3"
"2021-22","Spring","AHRM","2404","Consumer Rights","Fisher","3.29","51.6","0","5.6","24.2","0","4","8.9","0","0","4","0","1.6","1","124","10251","  3"
"2022-23","Fall","AHRM","2404","Consumer Rights","Fisher","3.2","36","13.6","6.4","16","10.4","5.6","4","1.6","1.6","2.4","0.8","1.6","3","125","80247","  3"
"2018-19","Spring","AHRM","2404","Consumer Rights","Fisher","3.32","45.7","11.8","6.3","12.6","7.9","2.4","6.3","0.8","1.6","3.9","0","0.8","0","127","10227","  3"
"2020-21","Spring","AHRM","2404","Consumer Rights","Fisher","3.27","36.4","15.5","5.4","21.7","7","1.6","5.4","3.1","0.8","1.6","0","1.6","2","129","10248","  3"
"2020-21","Fall","AHRM","2404","Consumer Rights","Hsu","3.18","30","19.2","7.7","19.2","5.4","5.4","6.9","0","1.5","0.8","0","3.8","1","130","80228","  3"
"2019-20","Fall","AHRM","2404","Consumer Rights","Fisher","3.26","42.4","12.1","6.8","16.7","6.1","3.8","3.8","2.3","0","1.5","1.5","3","3","132","80221","  3"
"2022-23","Spring","AHRM","2404","Consumer Rights","Fisher","3.38","51.5","10.6","6.8","10.6","7.6","0.8","5.3","1.5","0.8","0.8","2.3","1.5","1","132","10259","  3"
"2018-19","Fall","AHRM","2404","Consumer Rights","Fisher","3.58","59.3","13.6","4.3","9.3","5","1.4","2.9","1.4","1.4","1.4","0","0","3","140","80211","  3"
