"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2022-23","Spring","AINS","1104","Intro American Indian Studies","Copeland","3.49","63.6","0","9.1","0","18.2","0","0","9.1","0","0","0","0","0","11","21303","  3"
"2019-20","Spring","AINS","1104","Intro American Indian Studies","Hey","3.93","94.7","0","0","0","5.3","0","0","0","0","0","0","0","0","19","10250","  3"
"2022-23","Spring","AINS","1104","Intro American Indian Studies","Cook","3.6","78.9","0","0","5.3","10.5","0","0","0","0","0","0","5.3","2","19","10260","  3"
"2021-22","Spring","AINS","1104","Intro American Indian Studies","Hey","4","100","0","0","0","0","0","0","0","0","0","0","0","0","21","10254","  3"
"2022-23","Fall","AINS","1104","Intro American Indian Studies","Cook","3.85","86.4","0","0","9.1","4.5","0","0","0","0","0","0","0","0","22","80248","  3"
"2021-22","Spring","AINS","1104","Intro American Indian Studies","Copeland","3.14","21.7","13","13","17.4","21.7","4.3","0","8.7","0","0","0","0","1","23","10253","  3"
"2022-23","Fall","AINS","1104","Intro American Indian Studies","Copeland","3.54","44","28","8","4","8","0","4","4","0","0","0","0","0","25","80249","  3"
"2022-23","Fall","AINS","1104","Intro American Indian Studies","Hey","3.8","88","0","0","0","4","4","4","0","0","0","0","0","0","25","80251","  3"
"2022-23","Fall","AINS","1104","Intro American Indian Studies","Hey","3.89","96.3","0","0","0","0","0","0","0","0","3.7","0","0","1","27","80250","  3"
"2022-23","Spring","AINS","1104","Intro American Indian Studies","Hey","3.51","70","0","3.3","6.7","6.7","6.7","0","0","0","6.7","0","0","1","30","20883","  3"
"2018-19","Spring","AINS","1104","Intro American Indian Studies","Filbert","3.08","24.2","24.2","9.1","9.1","12.1","9.1","0","3","0","3","3","3","0","33","10230","  3"
"2021-22","Fall","AINS","1104","Intro American Indian Studies","Hey","3.76","93.9","0","0","0","0","0","0","0","0","0","0","6.1","0","33","80245","  3"
"2021-22","Fall","AINS","1104","Intro American Indian Studies","Mullins","3.84","94.6","0","0","0","0","0","2.7","0","0","0","0","2.7","2","37","80244","  3"
"2021-22","Fall","AINS","1104","Intro American Indian Studies","Hey","3.72","91.9","0","0","0","0","0","0","2.7","0","0","0","5.4","2","37","80246","  3"
"2021-22","Fall","AINS","1104","Intro American Indian Studies","Cook","3.66","86.8","2.6","2.6","0","0","0","0","0","0","0","0","7.9","1","38","80247","  3"
