"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2020-21","Fall","AOE","2054","Electronics for AOE","Philen","3.06","25","5","25","15","5","10","0","10","5","0","0","0","0","20","91920","  3"
"2021-22","Fall","AOE","2054","Electronics for AOE","Fowler","3.16","23","13.5","16.2","21.6","12.2","4.1","2.7","4.1","0","0","1.4","1.4","4","74","80374","  3"
"2021-22","Fall","AOE","2054","Electronics for AOE","Philen","3.09","26","14.3","10.4","14.3","6.5","11.7","11.7","1.3","3.9","0","0","0","2","77","80388","  3"
"2021-22","Fall","AOE","2054","Electronics for AOE","Philen","2.96","16.8","10.5","14.7","21.1","11.6","11.6","4.2","3.2","3.2","1.1","1.1","1.1","1","95","80383","  3"
"2019-20","Fall","AOE","2054","Electronics for AOE","Philen","3.19","19.2","20.2","18.2","22.2","4","4","8.1","1","2","0","0","1","0","99","80319","  3"
"2022-23","Fall","AOE","2054","Electronics for AOE","Philen","2.93","19.8","9.9","11.7","23.4","10.8","8.1","5.4","4.5","0","1.8","0","4.5","5","111","80388","  3"
"2018-19","Fall","AOE","2054","Electronics for AOE","Philen","3.04","7.9","21.1","21.9","21.1","8.8","6.1","7.9","0.9","0.9","1.8","0.9","0.9","1","114","80309","  3"
"2022-23","Fall","AOE","2054","Electronics for AOE","Philen","3.24","31","12.1","15.5","19.8","9.5","1.7","6","0.9","0","0.9","0.9","1.7","1","116","80393","  3"
"2018-19","Fall","AOE","2054","Electronics for AOE","Philen","3.09","14.6","13","23.6","25.2","6.5","5.7","6.5","0.8","1.6","0.8","0.8","0.8","4","123","89948","  3"
"2020-21","Fall","AOE","2054","Electronics for AOE","Philen","3.08","24","11.6","14.7","16.3","13.2","7","5.4","3.1","1.6","1.6","0.8","0.8","1","129","80357","  3"
"2019-20","Fall","AOE","2054","Electronics for AOE","Philen","3.14","19.7","16.7","24.2","15.9","5.3","5.3","5.3","4.5","0","0.8","0","2.3","0","132","80324","  3"
"2020-21","Fall","AOE","2054","Electronics for AOE","Philen","3.11","22.4","11.2","16.8","16.8","12.6","9.1","8.4","0","0.7","1.4","0","0.7","0","143","80362","  3"
