"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2020-21","Fall","APS","1704","Intro to Appalachian Studies","Puckett","3.61","64.3","0","14.3","14.3","0","0","7.1","0","0","0","0","0","1","14","80614","  3"
"2019-20","Spring","APS","1704","Intro to Appalachian Studies","Puckett","3.64","81.3","0","0","6.3","0","6.3","0","0","0","6.3","0","0","1","16","21613","  3"
"2021-22","Fall","APS","1704","Intro to Appalachian Studies","Edmondson","3.96","88.2","11.8","0","0","0","0","0","0","0","0","0","0","0","17","80638","  3"
"2021-22","Spring","APS","1704","Intro to Appalachian Studies","Salmons","3.34","70.6","5.9","5.9","0","0","0","0","5.9","0","0","0","11.8","0","17","20466","  3"
"2018-19","Fall","APS","1704","Intro to Appalachian Studies","Puckett","3.65","72.2","5.6","0","5.6","5.6","5.6","5.6","0","0","0","0","0","1","18","80535","  3"
"2019-20","Fall","APS","1704","Intro to Appalachian Studies","Hennen","3.82","60","30","5","5","0","0","0","0","0","0","0","0","0","20","80556","  3"
"2020-21","Spring","APS","1704","Intro to Appalachian Studies","Edmondson","3.95","95","0","0","5","0","0","0","0","0","0","0","0","1","20","10679","  3"
"2020-21","Spring","APS","1704","Intro to Appalachian Studies","Edmondson","3.87","75","15","5","5","0","0","0","0","0","0","0","0","1","20","20452","  3"
"2018-19","Fall","APS","1704","Intro to Appalachian Studies","Laney","3.86","76.2","9.5","9.5","4.8","0","0","0","0","0","0","0","0","2","21","80529","  3"
"2020-21","Fall","APS","1704","Intro to Appalachian Studies","Laney","3.7","57.1","14.3","14.3","9.5","4.8","0","0","0","0","0","0","0","0","21","80613","  3"
"2021-22","Spring","APS","1704","Intro to Appalachian Studies","Satterwhite","3.48","47.6","23.8","14.3","0","4.8","0","4.8","0","0","0","0","4.8","1","21","20462","  3"
"2018-19","Fall","APS","1704","Intro to Appalachian Studies","Edmondson","3.84","59.1","31.8","9.1","0","0","0","0","0","0","0","0","0","0","22","80533","  3"
"2019-20","Spring","APS","1704","Intro to Appalachian Studies","Edmondson","4","100","0","0","0","0","0","0","0","0","0","0","0","0","22","19716","  3"
"2020-21","Spring","APS","1704","Intro to Appalachian Studies","Laney","3.67","59.1","18.2","0","18.2","0","0","4.5","0","0","0","0","0","0","22","10678","  3"
"2019-20","Spring","APS","1704","Intro to Appalachian Studies","Edmondson","4","100","0","0","0","0","0","0","0","0","0","0","0","0","23","19714","  3"
"2022-23","Spring","APS","1704","Intro to Appalachian Studies","Salmons","3.73","69.6","8.7","4.3","8.7","4.3","4.3","0","0","0","0","0","0","0","23","10721","  3"
"2018-19","Fall","APS","1704","Intro to Appalachian Studies","Hennen","3.68","41.7","25","29.2","4.2","0","0","0","0","0","0","0","0","0","24","80534","  3"
"2018-19","Spring","APS","1704","Intro to Appalachian Studies","Laney","3.64","64","8","12","8","4","0","0","0","0","4","0","0","0","25","10531","  3"
"2018-19","Spring","APS","1704","Intro to Appalachian Studies","Edmondson","3.87","72","20","4","4","0","0","0","0","0","0","0","0","0","25","10534","  3"
"2018-19","Spring","APS","1704","Intro to Appalachian Studies","Puckett","3.62","44","12","36","4","4","0","0","0","0","0","0","0","1","25","19926","  3"
"2019-20","Fall","APS","1704","Intro to Appalachian Studies","Puckett","3.63","52","20","12","8","4","0","0","4","0","0","0","0","0","25","80557","  3"
"2019-20","Spring","APS","1704","Intro to Appalachian Studies","Satterwhite","3.62","60","16","8","12","0","0","0","0","0","0","0","4","0","25","10579","  3"
"2021-22","Spring","APS","1704","Intro to Appalachian Studies","Edmondson","3.58","68","16","8","0","0","0","0","0","0","0","0","8","0","25","10682","  3"
"2018-19","Spring","APS","1704","Intro to Appalachian Studies","Hennen","3.71","61.5","11.5","3.8","23.1","0","0","0","0","0","0","0","0","0","26","10530","  3"
"2020-21","Fall","APS","1704","Intro to Appalachian Studies","Laney","3.28","50","11.5","3.8","15.4","0","0","7.7","3.8","3.8","0","0","3.8","0","26","80612","  3"
