"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2021-22","Fall","ARBC","2774","Arab Culture and Civilization","Taggart","3.92","85","10","0","5","0","0","0","0","0","0","0","0","0","20","80849","  3"
"2022-23","Fall","ARBC","2774","Arab Culture and Civilization","Taggart","3.85","70","20","5","5","0","0","0","0","0","0","0","0","0","20","80927","  3"
"2022-23","Fall","ARBC","2774","Arab Culture and Civilization","Taggart","3.7","57.1","9.5","23.8","4.8","4.8","0","0","0","0","0","0","0","0","21","80928","  3"
"2021-22","Fall","ARBC","2774","Arab Culture and Civilization","Taggart","3.22","52.2","4.3","4.3","13","8.7","8.7","0","0","0","0","0","8.7","0","23","92336","  3"
"2022-23","Spring","ARBC","2774","Arab Culture and Civilization","Taggart","3.89","79.3","13.8","0","6.9","0","0","0","0","0","0","0","0","1","29","10925","  3"
"2021-22","Spring","ARBC","2774","Arab Culture and Civilization","Taggart","3.64","73.3","6.7","6.7","3.3","0","3.3","3.3","0","0","0","0","3.3","0","30","10876","  3"
"2020-21","Fall","ARBC","2774","Arab Culture and Civilization","Taggart","3.9","81.8","9.1","6.1","3","0","0","0","0","0","0","0","0","0","33","90626","  3"
"2019-20","Spring","ARBC","2774","Arab Culture and Civilization","Taggart","3.93","81.6","15.8","2.6","0","0","0","0","0","0","0","0","0","0","38","10753","  3"
"2020-21","Spring","ARBC","2774","Arab Culture and Civilization","Taggart","3.83","84.6","10.3","0","0","2.6","0","0","0","0","0","0","2.6","0","39","10874","  3"
"2018-19","Spring","ARBC","2774","Arab Culture and Civilization","Taggart","3.78","72.5","7.5","12.5","5","0","0","0","2.5","0","0","0","0","0","40","10659","  3"
