Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
2021-22,Spring,AS,2116,The Development of Air Power,Pruitt,4,100,0,0,0,0,0,0,0,0,0,0,0,0,10,11287,1
2021-22,Spring,AS,2116,The Development of Air Power,Pruitt,3.93,92.9,0,0,7.1,0,0,0,0,0,0,0,0,0,14,11285,1
2019-20,Spring,AS,2116,The Development of Air Power,Burton,3.61,76.5,5.9,5.9,0,0,5.9,0,0,0,0,0,5.9,0,17,21321,1
2020-21,Spring,AS,2116,The Development of Air Power,Drinkard,3.83,63.2,26.3,5.3,5.3,0,0,0,0,0,0,0,0,0,19,11273,1
2021-22,Spring,AS,2116,The Development of Air Power,Pruitt,3.8,85.7,0,4.8,0,0,9.5,0,0,0,0,0,0,0,21,11286,1
2019-20,Spring,AS,2116,The Development of Air Power,Burton,3.73,81.8,4.5,4.5,4.5,0,0,0,0,0,0,0,4.5,0,22,11178,1
2019-20,Spring,AS,2116,The Development of Air Power,Burton,3.9,82.6,13,0,0,4.3,0,0,0,0,0,0,0,0,23,11177,1
2020-21,Spring,AS,2116,The Development of Air Power,Drinkard,3.83,65.4,30.8,0,0,0,0,3.8,0,0,0,0,0,0,26,11272,1
2020-21,Spring,AS,2116,The Development of Air Power,Drinkard,3.67,57.7,26.9,3.8,3.8,0,3.8,0,0,0,3.8,0,0,0,26,11274,1
2018-19,Spring,AS,2116,The Development of Air Power,Drinkard,3.87,66.7,25.9,7.4,0,0,0,0,0,0,0,0,0,0,27,11044,1
2018-19,Spring,AS,2116,The Development of Air Power,Drinkard,3.78,60.7,21.4,10.7,3.6,3.6,0,0,0,0,0,0,0,0,28,11043,1
2022-23,Spring,AS,2116,The Development of Air Power,Cousin,4,100,0,0,0,0,0,0,0,0,0,0,0,0,14,11331,1
2022-23,Spring,AS,2116,The Development of Air Power,Cousin,4,100,0,0,0,0,0,0,0,0,0,0,0,0,23,11330,1
2022-23,Spring,AS,2116,The Development of Air Power,Cousin,4,100,0,0,0,0,0,0,0,0,0,0,0,0,23,11332,1
