"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2022-23","Fall","AS","3215","AF Management & Leadership","Cade","3.86","75","18.8","0","0","6.3","0","0","0","0","0","0","0","0","16","81352","  3"
"2019-20","Fall","AS","3215","AF Management & Leadership","Pruitt","3.92","85","5","10","0","0","0","0","0","0","0","0","0","0","20","81075","  3"
"2020-21","Fall","AS","3215","AF Management & Leadership","Meskimen","3.89","63.6","36.4","0","0","0","0","0","0","0","0","0","0","0","22","81226","  3"
"2021-22","Fall","AS","3215","AF Management & Leadership","Meskimen","3.87","81.8","13.6","0","0","0","0","4.5","0","0","0","0","0","0","22","81250","  3"
"2022-23","Fall","AS","3215","AF Management & Leadership","Cade","3.99","95.5","4.5","0","0","0","0","0","0","0","0","0","0","0","22","81351","  3"
"2018-19","Fall","AS","3215","AF Management & Leadership","Burton","3.69","47.8","17.4","30.4","4.3","0","0","0","0","0","0","0","0","0","23","81017","  3"
"2020-21","Fall","AS","3215","AF Management & Leadership","Meskimen","3.88","84","12","0","0","0","0","4","0","0","0","0","0","0","25","81227","  3"
"2021-22","Fall","AS","3215","AF Management & Leadership","Meskimen","3.99","96.2","3.8","0","0","0","0","0","0","0","0","0","0","0","26","81249","  3"
"2018-19","Fall","AS","3215","AF Management & Leadership","Burton","3.44","10.3","37.9","34.5","13.8","0","0","3.4","0","0","0","0","0","0","29","81018","  3"
"2019-20","Fall","AS","3215","AF Management & Leadership","Pruitt","3.95","86.7","10","3.3","0","0","0","0","0","0","0","0","0","0","30","81076","  3"
