"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2021-22","Fall","BCHM","2024","Concepts of Biochemistry","Marine","3.18","26.3","12.5","18.8","12.5","12.5","7.5","5","1.3","2.5","1.3","0","0","0","80","81386","  3"
"2022-23","Fall","BCHM","2024","Concepts of Biochemistry","Marine","2.8","9.6","13.3","16.9","15.7","12","16.9","8.4","0","0","1.2","1.2","4.8","0","83","81478","  3"
"2021-22","Spring","BCHM","2024","Concepts of Biochemistry","Marine","3.23","18.7","17.6","24.2","16.5","11","6.6","3.3","1.1","0","0","1.1","0","3","91","11428","  3"
"2022-23","Spring","BCHM","2024","Concepts of Biochemistry","Marine","3.13","21.5","12.9","16.1","20.4","11.8","6.5","7.5","1.1","1.1","0","0","1.1","1","93","11468","  3"
"2019-20","Spring","BCHM","2024","Concepts of Biochemistry","Marine","3.43","33","16","22","17","7","3","1","0","0","0","0","1","0","100","11333","  3"
"2022-23","Spring","BCHM","2024","Concepts of Biochemistry","Marine","3.1","15.4","18.3","13.5","21.2","15.4","7.7","3.8","1","1.9","1.9","0","0","1","104","11467","  3"
"2019-20","Fall","BCHM","2024","Concepts of Biochemistry","Marine","3.09","24.8","8.6","16.2","16.2","12.4","11.4","4.8","3.8","0","1","0","1","1","105","81201","  3"
"2018-19","Fall","BCHM","2024","Concepts of Biochemistry","Marine","2.96","9.4","13.2","22.6","15.1","18.9","7.5","6.6","2.8","1.9","0.9","0","0.9","4","106","81138","  3"
"2019-20","Spring","BCHM","2024","Concepts of Biochemistry","Marine","3.55","35.4","21.2","27.4","7.1","6.2","2.7","0","0","0","0","0","0","0","113","11334","  3"
"2020-21","Fall","BCHM","2024","Concepts of Biochemistry","Marine","3.04","5.2","18.1","25","18.1","14.7","11.2","6.9","0","0","0.9","0","0","0","116","81353","  3"
"2018-19","Spring","BCHM","2024","Concepts of Biochemistry","Marine","3.1","16.9","11.9","21.2","16.1","16.1","8.5","7.6","0","0","1.7","0","0","5","118","11184","  3"
"2021-22","Spring","BCHM","2024","Concepts of Biochemistry","Marine","3.23","23.7","15.3","18.6","14.4","12.7","10.2","3.4","1.7","0","0","0","0","0","118","11427","  3"
"2018-19","Spring","BCHM","2024","Concepts of Biochemistry","Marine","3.15","18.7","13.8","19.5","17.1","17.1","7.3","3.3","2.4","0","0","0","0.8","0","123","11185","  3"
"2020-21","Spring","BCHM","2024","Concepts of Biochemistry","Marine","3.06","5.6","12.1","26.6","28.2","12.9","9.7","2.4","1.6","0.8","0","0","0","1","124","11435","  3"
"2020-21","Spring","BCHM","2024","Concepts of Biochemistry","Marine","3.23","20","14.4","25.6","14.4","14.4","5.6","4","0","1.6","0","0","0","2","125","11434","  3"
