"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2019-20","Spring","BIOL","4404","Ornithology","Hawley","3.79","66.7","22.2","0","0","11.1","0","0","0","0","0","0","0","0","9","20880","  4"
"2019-20","Spring","BIOL","4404","Ornithology","Hawley","3.58","58.3","0","8.3","25","8.3","0","0","0","0","0","0","0","0","12","11579","  4"
"2021-22","Spring","BIOL","4404","Ornithology","Hawley","3.15","16.7","16.7","8.3","25","25","0","8.3","0","0","0","0","0","0","12","21027","  4"
"2018-19","Spring","BIOL","4404","Ornithology","Hawley","3.44","30.8","23.1","23.1","7.7","7.7","0","7.7","0","0","0","0","0","0","13","11432","  4"
"2021-22","Spring","BIOL","4404","Ornithology","Hawley","3.26","35.7","21.4","7.1","14.3","7.1","0","0","0","14.3","0","0","0","0","14","21024","  4"
"2019-20","Spring","BIOL","4404","Ornithology","Hawley","3.54","26.7","40","20","6.7","0","0","6.7","0","0","0","0","0","0","15","11581","  4"
"2021-22","Spring","BIOL","4404","Ornithology","Hawley","3.83","73.3","13.3","0","13.3","0","0","0","0","0","0","0","0","0","15","21026","  4"
"2018-19","Spring","BIOL","4404","Ornithology","Hawley","3.23","37.5","6.3","6.3","18.8","12.5","6.3","12.5","0","0","0","0","0","1","16","11430","  4"
"2019-20","Spring","BIOL","4404","Ornithology","Hawley","3.79","62.5","18.8","12.5","6.3","0","0","0","0","0","0","0","0","0","16","11580","  4"
"2022-23","Spring","BIOL","4404","Ornithology","Hawley","3.34","37.5","25","12.5","0","6.3","6.3","6.3","0","0","6.3","0","0","0","16","11792","  4"
"2022-23","Spring","BIOL","4404","Ornithology","Hawley","3.36","25","18.8","12.5","31.3","6.3","6.3","0","0","0","0","0","0","1","16","11793","  4"
"2021-22","Spring","BIOL","4404","Ornithology","Hawley","3.56","47.1","5.9","23.5","17.6","5.9","0","0","0","0","0","0","0","0","17","21025","  4"
"2022-23","Spring","BIOL","4404","Ornithology","Hawley","3.24","23.5","17.6","17.6","11.8","17.6","0","11.8","0","0","0","0","0","0","17","11794","  4"
"2018-19","Spring","BIOL","4404","Ornithology","Hawley","3.13","16.7","27.8","0","16.7","22.2","0","16.7","0","0","0","0","0","0","18","11431","  4"
