"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2022-23","Fall","BMES","3034","Bioinstrumentation Lab","Johnson","3.89","77.8","11.1","11.1","0","0","0","0","0","0","0","0","0","0","9","81894","  2"
"2021-22","Fall","BMES","3034","Bioinstrumentation Lab","Johnson","3.15","0","27.3","9.1","54.5","0","9.1","0","0","0","0","0","0","0","11","91194","  2"
"2022-23","Spring","BMES","3034","Bioinstrumentation Lab","Johnson","3.92","73.3","26.7","0","0","0","0","0","0","0","0","0","0","0","15","11962","  2"
"2020-21","Spring","BMES","3034","Bioinstrumentation Lab","Johnson","3.41","18.8","37.5","0","37.5","0","6.3","0","0","0","0","0","0","0","16","20694","  2"
"2020-21","Spring","BMES","3034","Bioinstrumentation Lab","Johnson","3.63","37.5","31.3","12.5","18.8","0","0","0","0","0","0","0","0","0","16","20695","  2"
"2020-21","Spring","BMES","3034","Bioinstrumentation Lab","Johnson","3.7","25","56.3","18.8","0","0","0","0","0","0","0","0","0","0","16","20854","  2"
"2022-23","Spring","BMES","3034","Bioinstrumentation Lab","Johnson","3.57","36.8","31.6","5.3","15.8","10.5","0","0","0","0","0","0","0","0","19","11961","  2"
"2021-22","Spring","BMES","3034","Bioinstrumentation Lab","Johnson","3.53","25","16.7","54.2","4.2","0","0","0","0","0","0","0","0","0","24","11826","  2"
"2021-22","Spring","BMES","3034","Bioinstrumentation Lab","Johnson","3.19","20.8","0","25","33.3","16.7","0","4.2","0","0","0","0","0","0","24","11827","  2"
"2022-23","Spring","BMES","3034","Bioinstrumentation Lab","Johnson","3.88","68","28","0","4","0","0","0","0","0","0","0","0","0","25","11963","  2"
