"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2020-21","Fall","BSE","2004","Intro Biological Systems Eng","Czuba","3.28","16.7","8.3","33.3","25","16.7","0","0","0","0","0","0","0","0","12","90648","  2"
"2018-19","Spring","BSE","2004","Intro Biological Systems Eng","Hanzly","3.57","31.6","42.1","5.3","10.5","5.3","5.3","0","0","0","0","0","0","0","19","11685","  2"
"2019-20","Fall","BSE","2004","Intro Biological Systems Eng","Krometis","3.12","4.3","30.4","17.4","17.4","8.7","17.4","4.3","0","0","0","0","0","0","23","81700","  2"
"2020-21","Fall","BSE","2004","Intro Biological Systems Eng","Czuba","3.51","54.2","4.2","20.8","12.5","0","0","4.2","0","0","4.2","0","0","0","24","81870","  2"
"2020-21","Fall","BSE","2004","Intro Biological Systems Eng","Czuba","3.58","33.3","29.2","20.8","8.3","8.3","0","0","0","0","0","0","0","0","24","81871","  2"
"2019-20","Fall","BSE","2004","Intro Biological Systems Eng","Krometis","3.19","12","16","24","20","20","8","0","0","0","0","0","0","0","25","81701","  2"
"2021-22","Fall","BSE","2004","Intro Biological Systems Eng","Czuba","3.73","64.7","11.8","5.9","11.8","5.9","0","0","0","0","0","0","0","0","17","81924","  3"
"2018-19","Fall","BSE","2004","Intro Biological Systems Eng","Krometis","3.08","3.2","19.4","25.8","25.8","9.7","12.9","0","3.2","0","0","0","0","0","31","81624","  2"
"2018-19","Fall","BSE","2004","Intro Biological Systems Eng","Krometis","2.81","3.1","12.5","18.8","25","18.8","6.3","6.3","0","6.3","0","0","3.1","0","32","81623","  2"
"2022-23","Fall","BSE","2004","Intro Biological Systems Eng","Czuba","3.38","37.5","20.8","8.3","8.3","16.7","4.2","0","0","0","4.2","0","0","0","24","82056","  3"
"2021-22","Fall","BSE","2004","Intro Biological Systems Eng","Czuba","3.68","72","8","12","0","4","0","0","0","0","0","0","4","0","25","81925","  3"
"2022-23","Fall","BSE","2004","Intro Biological Systems Eng","Czuba","3.63","48","20","12","12","8","0","0","0","0","0","0","0","0","25","82057","  3"
