"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2021-22","Fall","CEE","4074","Const Means & Methods","Smith","2.46","2.2","2.2","4.4","22.2","15.6","26.7","17.8","0","2.2","2.2","4.4","0","1","45","91368","  3"
"2019-20","Spring","CEE","4074","Const Means & Methods","Muir","3.59","36","34","14","6","6","4","0","0","0","0","0","0","0","50","21237","  3"
"2021-22","Fall","CEE","4074","Const Means & Methods","Smith","2.48","2","0","18","16","20","16","10","6","6","4","0","2","0","50","91369","  3"
"2019-20","Spring","CEE","4074","Const Means & Methods","Muir","3.66","50","29","12.9","0","1.6","1.6","3.2","0","0","1.6","0","0","0","62","11975","  3"
"2022-23","Spring","CEE","4074","Const Means & Methods","Smith","2.02","0","0","4.8","7.9","15.9","12.7","17.5","19","6.3","11.1","4.8","0","0","63","20757","  3"
"2022-23","Fall","CEE","4074","Const Means & Methods","Smith","2.3","3.1","4.7","1.6","20.3","6.3","18.8","25","4.7","7.8","6.3","0","1.6","2","64","82225","  3"
"2021-22","Spring","CEE","4074","Const Means & Methods","Smith","2.21","1.5","0","6.1","9.1","15.2","21.2","27.3","4.5","6.1","7.6","0","1.5","0","66","12138","  3"
"2020-21","Spring","CEE","4074","Const Means & Methods","Smith","2.45","2.7","0","9.6","15.1","16.4","20.5","24.7","5.5","4.1","1.4","0","0","2","73","12113","  3"
"2020-21","Spring","CEE","4074","Const Means & Methods","Smith","2.26","1.3","1.3","1.3","20","14.7","25.3","10.7","9.3","9.3","2.7","2.7","1.3","0","75","12112","  3"
"2018-19","Spring","CEE","4074","Const Means & Methods","Muir","3.75","66.1","14.7","7.3","5.5","4.6","0.9","0","0","0.9","0","0","0","0","109","11822","  3"
