"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2020-21","Spring","CEM","4445","CEM Capstone","Johnson","3.24","9.1","27.3","45.5","9.1","0","0","0","0","0","9.1","0","0","0","11","21539","  3"
"2021-22","Spring","CEM","4445","CEM Capstone","Johnson","3.29","12.5","50","0","6.3","18.8","6.3","0","6.3","0","0","0","0","0","16","12459","  3"
"2022-23","Spring","CEM","4445","CEM Capstone","Lally","3.52","37.5","18.8","25","0","18.8","0","0","0","0","0","0","0","0","16","12615","  3"
"2021-22","Fall","CEM","4445","CEM Capstone","Lally","3.57","52.4","28.6","0","0","4.8","4.8","4.8","4.8","0","0","0","0","0","21","82420","  3"
"2020-21","Fall","CEM","4445","CEM Capstone","Lally","3.55","25","54.2","4.2","4.2","4.2","0","8.3","0","0","0","0","0","0","24","90577","  3"
"2022-23","Fall","CEM","4445","CEM Capstone","Lally","3.83","50","46.2","3.8","0","0","0","0","0","0","0","0","0","0","26","82564","  3"
"2021-22","Fall","CEM","4445","CEM Capstone","Lally","3.67","46.4","32.1","10.7","3.6","3.6","0","3.6","0","0","0","0","0","0","28","82421","  3"
"2022-23","Fall","CEM","4445","CEM Capstone","Lally","3.83","58.6","31","10.3","0","0","0","0","0","0","0","0","0","0","29","82565","  3"
"2020-21","Fall","CEM","4445","CEM Capstone","Lally","3.64","39.4","33.3","18.2","3","3","0","3","0","0","0","0","0","0","33","82357","  3"
"2019-20","Fall","CEM","4445","CEM Capstone","Lally","3.36","20","33.3","22.2","11.1","6.7","0","0","4.4","0","0","0","2.2","0","45","91095","  3"
