"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2019-20","Spring","CHE","3134","Separation Processes","Whiting","3.43","25","30","15","5","25","0","0","0","0","0","0","0","0","20","12308","  3"
"2021-22","Spring","CHE","3134","Separation Processes","Whiting","3.2","28.6","9.5","14.3","19","9.5","9.5","9.5","0","0","0","0","0","0","21","12482","  3"
"2020-21","Spring","CHE","3134","Separation Processes","Whiting","3.05","33.3","12.5","4.2","12.5","8.3","4.2","12.5","4.2","4.2","4.2","0","0","0","24","12443","  3"
"2018-19","Spring","CHE","3134","Separation Processes","Whiting","3.2","20.7","17.2","24.1","6.9","13.8","6.9","6.9","3.4","0","0","0","0","0","29","12157","  3"
"2022-23","Spring","CHE","3134","Separation Processes","Whiting","3.12","30","13.3","3.3","16.7","16.7","3.3","10","3.3","0","3.3","0","0","0","30","12634","  3"
"2020-21","Fall","CHE","3134","Separation Processes","Cox","3.25","29.4","23.5","11.8","8.8","5.9","8.8","2.9","5.9","0","2.9","0","0","0","34","82372","  3"
"2020-21","Fall","CHE","3134","Separation Processes","Cox","3.27","33.3","11.1","19.4","11.1","11.1","2.8","5.6","2.8","0","2.8","0","0","0","36","92229","  3"
"2022-23","Fall","CHE","3134","Separation Processes","Davis","3.02","32.1","7.1","3.6","30.4","3.6","1.8","12.5","1.8","0","0","3.6","3.6","2","56","82582","  3"
"2019-20","Fall","CHE","3134","Separation Processes","Cox","3.26","40.3","11.3","6.5","12.9","8.1","12.9","3.2","3.2","0","0","0","1.6","1","62","82196","  3"
"2021-22","Fall","CHE","3134","Separation Processes","Davis","3.11","38.7","6.7","5.3","20","4","0","18.7","2.7","1.3","0","0","2.7","6","75","82436","  3"
"2018-19","Fall","CHE","3134","Separation Processes","Cox","3.1","30.3","6.6","10.5","25","1.3","7.9","14.5","0","1.3","2.6","0","0","3","76","82109","  3"
