"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2022-23","Fall","CHEM","3615","Physical Chemistry","Troya","2.21","13.9","2.8","11.1","11.1","8.3","8.3","11.1","2.8","5.6","5.6","5.6","13.9","5","36","82848","  3"
"2019-20","Spring","CHEM","3615","Physical Chemistry","Troya","3.19","28.6","14.3","19","7.1","11.9","4.8","7.1","4.8","0","0","2.4","0","0","42","12577","  3"
"2018-19","Fall","CHEM","3615","Physical Chemistry","Valeyev","2.46","7","4.7","11.6","23.3","9.3","14","11.6","2.3","4.7","2.3","0","9.3","3","43","82335","  3"
"2021-22","Fall","CHEM","3615","Physical Chemistry","Valeyev","2.04","2.3","9.3","2.3","11.6","16.3","4.7","11.6","9.3","11.6","7","2.3","11.6","8","43","82704","  3"
"2020-21","Fall","CHEM","3615","Physical Chemistry","Valeyev","2.54","12.2","6.1","6.1","16.3","14.3","14.3","6.1","10.2","2","8.2","2","2","1","49","82629","  3"
"2019-20","Fall","CHEM","3615","Physical Chemistry","Madsen","2.65","13.3","6.7","15","13.3","15","1.7","18.3","1.7","5","5","3.3","1.7","1","60","82423","  3"
"2021-22","Spring","CHEM","3615","Physical Chemistry","Troya","2.41","13.1","11.5","4.9","11.5","8.2","9.8","9.8","8.2","6.6","6.6","3.3","6.6","2","61","12825","  3"
"2022-23","Spring","CHEM","3615","Physical Chemistry","Troya","2.36","10.9","10.9","3.1","9.4","12.5","4.7","23.4","6.3","3.1","3.1","6.3","6.3","7","64","12943","  3"
"2018-19","Spring","CHEM","3615","Physical Chemistry","Valeyev","2.11","9.3","6.7","4","8","9.3","17.3","8","6.7","5.3","9.3","4","12","8","75","12426","  3"
"2020-21","Spring","CHEM","3615","Physical Chemistry","Troya","2.52","10.1","11.4","12.7","3.8","11.4","8.9","16.5","8.9","7.6","5.1","2.5","1.3","6","79","12747","  3"
