"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2021-22","Fall","CHN","1105","Elementary Chinese","Chang","3.54","37.5","12.5","25","25","0","0","0","0","0","0","0","0","1","8","82801","  3"
"2019-20","Fall","CHN","1105","Elementary Chinese","Chang","3.29","55.6","0","22.2","11.1","0","0","0","0","0","0","0","11.1","0","9","82514","  3"
"2020-21","Fall","CHN","1105","Elementary Chinese","Teo","3.87","70","20","10","0","0","0","0","0","0","0","0","0","0","10","82726","  3"
"2018-19","Fall","CHN","1105","Elementary Chinese","Chang","3.6","63.6","9.1","18.2","0","0","0","0","0","9.1","0","0","0","0","11","82427","  3"
"2020-21","Fall","CHN","1105","Elementary Chinese","Chang","3.7","63.6","9.1","0","27.3","0","0","0","0","0","0","0","0","0","11","82725","  3"
"2020-21","Spring","CHN","1105","Elementary Chinese","Chang","3.3","63.6","0","0","18.2","0","9.1","0","0","0","0","0","9.1","0","11","12847","  3"
"2021-22","Fall","CHN","1105","Elementary Chinese","Chang","3.03","36.4","9.1","18.2","9.1","0","0","18.2","0","0","0","0","9.1","1","11","82802","  3"
"2021-22","Fall","CHN","1105","Elementary Chinese","Chang","3.62","50","16.7","16.7","0","16.7","0","0","0","0","0","0","0","0","12","82800","  3"
"2019-20","Fall","CHN","1105","Elementary Chinese","Chang","3.84","71.4","21.4","0","0","7.1","0","0","0","0","0","0","0","0","14","82513","  3"
"2021-22","Spring","CHN","1105","Elementary Chinese","Chang","3.41","50","12.5","0","6.3","18.8","0","12.5","0","0","0","0","0","0","16","12933","  3"
"2022-23","Fall","CHN","1105","Elementary Chinese","Chang","3.52","56.3","12.5","6.3","0","6.3","18.8","0","0","0","0","0","0","0","16","82947","  3"
"2018-19","Spring","CHN","1105","Elementary Chinese","Chang","3.91","83.3","11.1","0","5.6","0","0","0","0","0","0","0","0","1","18","12524","  3"
"2019-20","Fall","CHN","1105","Elementary Chinese","Chang","3.86","72.2","22.2","0","0","5.6","0","0","0","0","0","0","0","0","18","82515","  3"
"2019-20","Spring","CHN","1105","Elementary Chinese","Chang","3.89","88.9","0","0","11.1","0","0","0","0","0","0","0","0","0","18","12671","  3"
"2018-19","Fall","CHN","1105","Elementary Chinese","Chang","3.78","52.6","31.6","10.5","5.3","0","0","0","0","0","0","0","0","0","19","82426","  3"
"2020-21","Fall","CHN","1105","Elementary Chinese","Chang","3.79","73.7","15.8","0","0","5.3","5.3","0","0","0","0","0","0","0","19","82724","  3"
"2022-23","Fall","CHN","1105","Elementary Chinese","Chang","3.52","52.6","15.8","0","5.3","21.1","0","5.3","0","0","0","0","0","0","19","82946","  3"
"2018-19","Fall","CHN","1105","Elementary Chinese","Chang","3.67","55","15","10","15","5","0","0","0","0","0","0","0","0","20","82428","  3"
"2022-23","Spring","CHN","1105","Elementary Chinese","Chang","3.45","39.1","34.8","0","8.7","8.7","4.3","0","0","0","0","0","4.3","0","23","13042","  3"
