"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2018-19","Fall","CINE","2064","Intro to Cinema Production","Perkinson","3.67","41.7","25","25","8.3","0","0","0","0","0","0","0","0","0","12","82441","  3"
"2019-20","Fall","CINE","2064","Intro to Cinema Production","Iancu","3.73","58.3","25","0","8.3","8.3","0","0","0","0","0","0","0","0","12","82529","  3"
"2019-20","Fall","CINE","2064","Intro to Cinema Production","Iancu","3.26","33.3","25","8.3","16.7","8.3","0","0","0","0","0","0","8.3","0","12","82531","  3"
"2020-21","Fall","CINE","2064","Intro to Cinema Production","Dye","3.81","75","8.3","0","16.7","0","0","0","0","0","0","0","0","0","12","82740","  3"
"2019-20","Spring","CINE","2064","Intro to Cinema Production","Iancu","3.91","69.2","30.8","0","0","0","0","0","0","0","0","0","0","0","13","12689","  3"
"2020-21","Fall","CINE","2064","Intro to Cinema Production","Perkinson","3.6","61.5","15.4","0","7.7","7.7","0","0","7.7","0","0","0","0","0","13","82739","  3"
"2020-21","Fall","CINE","2064","Intro to Cinema Production","Iancu","3.26","53.8","23.1","7.7","0","0","0","0","0","0","0","0","15.4","0","13","82741","  3"
"2020-21","Spring","CINE","2064","Intro to Cinema Production","Perkinson","3.59","61.5","15.4","7.7","0","7.7","0","0","0","7.7","0","0","0","1","13","12867","  3"
"2020-21","Spring","CINE","2064","Intro to Cinema Production","Iancu","3.63","53.8","0","30.8","15.4","0","0","0","0","0","0","0","0","1","13","12868","  3"
"2020-21","Spring","CINE","2064","Intro to Cinema Production","Dye","3.62","76.9","7.7","7.7","0","0","0","0","0","0","0","0","7.7","0","13","12869","  3"
"2021-22","Fall","CINE","2064","Intro to Cinema Production","Perkinson","3.93","76.9","23.1","0","0","0","0","0","0","0","0","0","0","0","13","82818","  3"
"2021-22","Fall","CINE","2064","Intro to Cinema Production","Iancu","3.72","61.5","15.4","7.7","7.7","7.7","0","0","0","0","0","0","0","0","13","82820","  3"
"2021-22","Spring","CINE","2064","Intro to Cinema Production","Dye","3.92","92.3","0","0","7.7","0","0","0","0","0","0","0","0","0","13","12954","  3"
"2018-19","Spring","CINE","2064","Intro to Cinema Production","Iancu","3.4","21.4","14.3","35.7","21.4","7.1","0","0","0","0","0","0","0","0","14","12541","  3"
"2019-20","Fall","CINE","2064","Intro to Cinema Production","Perkinson","3.79","71.4","14.3","0","7.1","7.1","0","0","0","0","0","0","0","0","14","82530","  3"
"2021-22","Fall","CINE","2064","Intro to Cinema Production","Dye","2.95","50","7.1","14.3","7.1","0","0","0","0","0","0","0","21.4","0","14","82819","  3"
"2021-22","Spring","CINE","2064","Intro to Cinema Production","Perkinson","3.51","21.4","42.9","14.3","14.3","0","7.1","0","0","0","0","0","0","1","14","12953","  3"
"2018-19","Fall","CINE","2064","Intro to Cinema Production","Iancu","3.37","26.7","6.7","26.7","33.3","6.7","0","0","0","0","0","0","0","0","15","82442","  3"
"2018-19","Fall","CINE","2064","Intro to Cinema Production","Iancu","3.42","20","20","33.3","20","6.7","0","0","0","0","0","0","0","0","15","89678","  3"
"2018-19","Spring","CINE","2064","Intro to Cinema Production","Dye","3.89","73.3","20","6.7","0","0","0","0","0","0","0","0","0","0","15","20042","  3"
"2019-20","Spring","CINE","2064","Intro to Cinema Production","Dye","3.89","86.7","0","6.7","6.7","0","0","0","0","0","0","0","0","0","15","12691","  3"
"2021-22","Spring","CINE","2064","Intro to Cinema Production","Iancu","2.98","33.3","13.3","13.3","13.3","6.7","0","6.7","0","0","0","0","13.3","1","15","12955","  3"
"2019-20","Spring","CINE","2064","Intro to Cinema Production","Iancu","3.94","81.3","18.8","0","0","0","0","0","0","0","0","0","0","0","16","12690","  3"
"2018-19","Spring","CINE","2064","Intro to Cinema Production","Iancu","3.79","52.9","29.4","17.6","0","0","0","0","0","0","0","0","0","1","17","12542","  3"
