"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2022-23","Spring","CLA","2444","Greek and Roman Myth","Steer","2.49","16.7","5.6","5.6","13.9","16.7","8.3","11.1","5.6","2.8","2.8","0","11.1","10","36","13076","  3"
"2019-20","Spring","CLA","2444","Greek and Roman Myth","Steer","3.35","33.3","12.8","17.9","12.8","12.8","5.1","5.1","0","0","0","0","0","0","39","12703","  3"
"2019-20","Spring","CLA","2444","Greek and Roman Myth","Steer","3.31","36","10","14","28","2","2","2","2","2","0","0","2","0","50","19673","  3"
"2018-19","Spring","CLA","2444","Greek and Roman Myth","Steer","3.62","52.9","21.6","7.8","7.8","0","5.9","3.9","0","0","0","0","0","1","51","12552","  3"
"2021-22","Fall","CLA","2444","Greek and Roman Myth","Phillips","3.23","42.3","9.6","7.7","13.5","5.8","7.7","3.8","0","5.8","3.8","0","0","3","52","82830","  3"
"2018-19","Fall","CLA","2444","Greek and Roman Myth","Phillips","3.32","45.5","9.1","7.3","12.7","10.9","0","5.5","7.3","0","1.8","0","0","2","55","82451","  3"
"2018-19","Fall","CLA","2444","Greek and Roman Myth","Phillips","3.33","40.4","15.8","8.8","10.5","8.8","3.5","5.3","5.3","0","1.8","0","0","0","57","82452","  3"
"2022-23","Spring","CLA","2444","Greek and Roman Myth","Steer","2.43","17.5","8.8","3.5","19.3","1.8","5.3","17.5","7","1.8","3.5","1.8","12.3","4","57","13077","  3"
"2019-20","Fall","CLA","2444","Greek and Roman Myth","Phillips","3.19","41.4","13.8","8.6","0","3.4","12.1","12.1","5.2","1.7","1.7","0","0","4","58","82540","  3"
"2020-21","Spring","CLA","2444","Greek and Roman Myth","Steer","3.15","23","27.9","8.2","16.4","8.2","4.9","1.6","0","3.3","3.3","0","3.3","0","61","12881","  3"
"2019-20","Fall","CLA","2444","Greek and Roman Myth","Phillips","3.21","33.9","17.7","9.7","9.7","9.7","8.1","3.2","0","3.2","3.2","0","1.6","1","62","82541","  3"
"2020-21","Spring","CLA","2444","Greek and Roman Myth","Steer","3.42","41.9","12.9","11.3","16.1","11.3","1.6","3.2","0","0","0","0","1.6","1","62","12880","  3"
"2021-22","Fall","CLA","2444","Greek and Roman Myth","Phillips","3.08","27.7","13.8","7.7","16.9","9.2","4.6","12.3","3.1","1.5","0","3.1","0","1","65","82829","  3"
"2021-22","Spring","CLA","2444","Greek and Roman Myth","Steer","3.12","35.4","7.7","4.6","23.1","12.3","3.1","3.1","3.1","3.1","1.5","0","3.1","1","65","12964","  3"
"2020-21","Fall","CLA","2444","Greek and Roman Myth","Phillips","3.53","39.4","22.7","19.7","7.6","3","3","1.5","3","0","0","0","0","0","66","82750","  3"
"2020-21","Fall","CLA","2444","Greek and Roman Myth","Phillips","3.44","43.3","17.9","13.4","11.9","6","0","3","0","0","1.5","1.5","1.5","0","67","82751","  3"
"2021-22","Spring","CLA","2444","Greek and Roman Myth","Steer","2.95","19.4","19.4","3","22.4","7.5","9","7.5","6","1.5","0","1.5","3","0","67","12965","  3"
"2022-23","Fall","CLA","2444","Greek and Roman Myth","Phillips","3.09","35.3","7.6","9.2","15.1","7.6","4.2","10.9","4.2","1.7","1.7","0.8","1.7","2","119","82977","  3"
