"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2019-20","Spring","CMST","3124","Interpersonal Communication","Stallings","2.89","7.7","15.4","30.8","7.7","0","7.7","23.1","7.7","0","0","0","0","1","13","21440","  3"
"2019-20","Spring","CMST","3124","Interpersonal Communication","Stallings","3.54","26.7","33.3","20","13.3","6.7","0","0","0","0","0","0","0","0","15","19954","  3"
"2019-20","Spring","CMST","3124","Interpersonal Communication","Stallings","3.17","10","25","20","25","0","10","10","0","0","0","0","0","0","20","12819","  3"
"2020-21","Fall","CMST","3124","Interpersonal Communication","Stallings","3.3","16","32","16","16","8","8","0","4","0","0","0","0","0","25","82788","  3"
"2019-20","Fall","CMST","3124","Interpersonal Communication","Stallings","3.17","7.7","19.2","19.2","30.8","15.4","7.7","0","0","0","0","0","0","1","26","82653","  3"
"2019-20","Fall","CMST","3124","Interpersonal Communication","Stallings","3.23","7.4","18.5","33.3","25.9","11.1","0","3.7","0","0","0","0","0","1","27","90773","  3"
"2020-21","Fall","CMST","3124","Interpersonal Communication","Stallings","3","18.5","14.8","7.4","22.2","11.1","7.4","11.1","3.7","3.7","0","0","0","0","27","82789","  3"
"2019-20","Fall","CMST","3124","Interpersonal Communication","Stallings","2.74","7.1","21.4","7.1","10.7","14.3","21.4","0","10.7","3.6","0","0","3.6","0","28","82656","  3"
"2021-22","Fall","CMST","3124","Interpersonal Communication","Stallings","3.37","21.9","21.9","31.3","12.5","3.1","6.3","0","3.1","0","0","0","0","0","32","82869","  3"
"2021-22","Spring","CMST","3124","Interpersonal Communication","Stallings","3.48","25","28.1","25","15.6","0","6.3","0","0","0","0","0","0","1","32","13032","  3"
"2020-21","Spring","CMST","3124","Interpersonal Communication","Stallings","3.02","3","18.2","21.2","36.4","6.1","6.1","3","0","3","3","0","0","0","33","12919","  3"
"2022-23","Fall","CMST","3124","Interpersonal Communication","McMillan","3.51","47.1","20.6","11.8","2.9","8.8","0","5.9","0","0","2.9","0","0","1","34","91264","  3"
"2022-23","Spring","CMST","3124","Interpersonal Communication","Shinault","3.25","25","12.5","22.5","25","7.5","2.5","0","0","2.5","0","0","2.5","0","40","13144","  3"
