"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2019-20","Fall","CS","2114","Softw Des & Data Structures","Haqq","2.83","25","12.5","18.8","12.5","0","0","18.8","0","0","0","0","12.5","2","16","91724","  3"
"2021-22","Spring","CS","2114","Softw Des & Data Structures","Ellis","3.56","46.7","20","20","0","3.3","3.3","3.3","3.3","0","0","0","0","2","30","21822","  3"
"2022-23","Fall","CS","2114","Softw Des & Data Structures","Sullivan","3.14","20.6","14.7","23.5","8.8","8.8","8.8","11.8","2.9","0","0","0","0","4","34","90776","  3"
"2022-23","Spring","CS","2114","Softw Des & Data Structures","Abdelrahman","2.85","5.6","22.2","13.9","8.3","16.7","11.1","13.9","2.8","2.8","2.8","0","0","3","36","13315","  3"
"2019-20","Spring","CS","2114","Softw Des & Data Structures","Farghally","3.28","24.1","16.9","24.1","19.3","8.4","3.6","0","0","0","0","1.2","2.4","1","83","19702","  3"
"2019-20","Spring","CS","2114","Softw Des & Data Structures","Haqq","3.53","43.3","20","13.3","14.4","3.3","2.2","2.2","0","0","0","0","1.1","0","90","12952","  3"
"2021-22","Fall","CS","2114","Softw Des & Data Structures","Haqq","3.07","22.3","19.4","18.4","14.6","2.9","9.7","1.9","2.9","0","1.9","1","4.9","5","103","83055","  3"
"2022-23","Spring","CS","2114","Softw Des & Data Structures","Ellis","2.92","21","16.8","10.9","16","5.9","6.7","7.6","3.4","5.9","1.7","0.8","3.4","9","119","13312","  3"
"2018-19","Fall","CS","2114","Softw Des & Data Structures","Esakia","3.1","27.3","10.7","20.7","11.6","10.7","5.8","5.8","0","1.7","2.5","0","3.3","12","121","82683","  3"
"2019-20","Fall","CS","2114","Softw Des & Data Structures","Ellis","2.99","16.7","15.9","15.9","23","8.7","3.2","6.3","4","1.6","0","0","4.8","4","126","82777","  3"
"2020-21","Fall","CS","2114","Softw Des & Data Structures","Haqq","3.4","27","23","19","21.4","0.8","4","3.2","0.8","0.8","0","0","0","0","126","82985","  3"
"2022-23","Spring","CS","2114","Softw Des & Data Structures","Ellis","3.19","33.3","15.1","14.3","15.9","4","5.6","4.8","0.8","0","0","1.6","4.8","3","126","20505","  3"
"2022-23","Fall","CS","2114","Softw Des & Data Structures","Emebo","3.15","25.8","15.2","11.4","20.5","9.8","6.1","6.1","0.8","0.8","2.3","0","1.5","6","132","83238","  3"
"2022-23","Spring","CS","2114","Softw Des & Data Structures","Emebo","3.16","24.3","15.4","10.3","23.5","10.3","4.4","5.9","2.9","0.7","1.5","0","0.7","3","136","13302","  3"
"2022-23","Fall","CS","2114","Softw Des & Data Structures","Abdelrahman","3.14","25.5","14.6","13.1","24.1","5.1","4.4","5.1","2.9","2.2","0","0","2.9","11","137","90774","  3"
"2021-22","Fall","CS","2114","Softw Des & Data Structures","Ellis","2.91","15.2","17.4","14.5","14.5","12.3","8.7","4.3","4.3","2.2","2.2","0","4.3","9","138","83068","  3"
"2020-21","Fall","CS","2114","Softw Des & Data Structures","Ellis","3.25","25.5","20.4","14","15.9","11.5","4.5","3.2","1.9","1.3","0.6","0.6","0.6","0","157","82971","  3"
"2021-22","Spring","CS","2114","Softw Des & Data Structures","Haqq","3.22","29","17.9","17.3","11.1","10.5","2.5","4.3","0.6","2.5","1.9","0.6","1.9","8","162","13215","  3"
"2018-19","Spring","CS","2114","Softw Des & Data Structures","Esakia","2.97","14.9","16.5","13.8","25","5.9","7.4","6.4","2.7","1.1","3.2","1.1","2.1","9","188","19505","  3"
"2018-19","Spring","CS","2114","Softw Des & Data Structures","Barnette","3.04","12.8","17.3","15.8","26.5","7.7","5.6","9.7","0","0.5","1.5","2","0.5","8","196","12779","  3"
"2019-20","Spring","CS","2114","Softw Des & Data Structures","Farghally","3.59","40.8","25.5","16.3","11.7","3.6","0","1.5","0","0","0","0","0.5","1","196","12949","  3"
"2020-21","Spring","CS","2114","Softw Des & Data Structures","Haqq","3.19","24.9","16.8","18.3","16.8","8.1","5.1","4.1","1","1.5","2","0","1.5","6","197","13086","  3"
"2019-20","Fall","CS","2114","Softw Des & Data Structures","Ellis","2.78","10.8","12.7","16","18.4","14.6","6.6","7.5","3.3","0.9","2.8","0","6.1","17","212","82778","  3"
"2021-22","Spring","CS","2114","Softw Des & Data Structures","Esakia","3.24","34.9","14.8","14","14.4","6.1","3.1","5.7","1.3","0.9","1.3","0.4","3.1","3","229","13205","  3"
"2022-23","Fall","CS","2114","Softw Des & Data Structures","Haqq","2.91","21.6","12.7","11.4","16.5","8.1","8.5","8.1","3.8","1.7","3","1.3","3.4","15","236","83231","  3"
"2018-19","Fall","CS","2114","Softw Des & Data Structures","Barnette","3.09","21.4","20.2","10.5","16.4","10.9","7.1","8","0","1.3","0.8","0.8","2.5","14","238","82684","  3"
"2020-21","Fall","CS","2114","Softw Des & Data Structures","Haqq","3.15","23.2","17.2","16.4","17.2","11.2","4.8","3.6","1.6","0.8","0.4","0.8","2.8","2","250","82972","  3"
"2021-22","Fall","CS","2114","Softw Des & Data Structures","Ellis","3.16","26","19.2","10.8","16.8","8.8","5.6","6","2","0.8","0.8","0.8","2.4","20","250","83069","  3"
"2020-21","Spring","CS","2114","Softw Des & Data Structures","Ellis","3.28","31.3","14.5","19","13.9","9","5.5","1.9","1.9","0.3","0.3","0","2.3","17","310","13089","  3"
