"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2019-20","Spring","ECE","2214","Physical Electronics","Zhou","3.32","38.5","15.4","0","7.7","23.1","15.4","0","0","0","0","0","0","0","13","21180","  3"
"2019-20","Spring","ECE","2214","Physical Electronics","Poon","3.32","20","26.7","6.7","26.7","13.3","6.7","0","0","0","0","0","0","0","15","21181","  3"
"2020-21","Fall","ECE","2214","Physical Electronics","Sarker","3.32","15.8","36.8","10.5","13.2","13.2","7.9","0","2.6","0","0","0","0","1","38","90899","  3"
"2020-21","Fall","ECE","2214","Physical Electronics","Zhou","3.43","30.4","32.1","14.3","8.9","5.4","1.8","1.8","3.6","0","0","0","1.8","0","56","90898","  3"
"2020-21","Spring","ECE","2214","Physical Electronics","Zhou","3.45","32.1","25","23.2","8.9","3.6","3.6","0","1.8","0","0","0","1.8","4","56","13494","  3"
"2020-21","Spring","ECE","2214","Physical Electronics","Herrera","3.35","17.9","28.6","23.8","17.9","4.8","3.6","1.2","0","0","1.2","1.2","0","4","84","20427","  3"
"2020-21","Spring","ECE","2214","Physical Electronics","Hudait","3.56","33.9","28.7","20.9","11.3","2.6","1.7","0","0","0","0","0","0.9","7","115","13495","  3"
"2021-22","Fall","ECE","2214","Physical Electronics","Sarker","2.93","29.5","15.9","6.8","6.8","13.6","9.1","6.8","0","0","0","2.3","9.1","3","44","83422","  3"
"2021-22","Spring","ECE","2214","Physical Electronics","Poon","3.09","31.1","13.3","13.3","13.3","11.1","2.2","4.4","2.2","0","0","4.4","4.4","1","45","13602","  3"
"2021-22","Fall","ECE","2214","Physical Electronics","Zhou","2.93","14.5","19.4","11.3","16.1","14.5","8.1","6.5","3.2","0","1.6","0","4.8","4","62","83423","  3"
"2021-22","Spring","ECE","2214","Physical Electronics","Hudait","3.6","33.7","31.5","21.3","6.7","5.6","1.1","0","0","0","0","0","0","0","89","13601","  3"
"2021-22","Spring","ECE","2214","Physical Electronics","Zhou","3.25","33.3","12.5","9.4","17.7","12.5","4.2","8.3","0","0","1","0","1","2","96","13600","  3"
"2022-23","Fall","ECE","2214","Physical Electronics","Sarker","2.75","15.8","18.4","7.9","15.8","13.2","13.2","0","2.6","0","0","0","13.2","1","38","83594","  3"
"2022-23","Spring","ECE","2214","Physical Electronics","Poon","2.69","12.8","0","20.5","10.3","23.1","7.7","15.4","0","0","5.1","5.1","0","15","39","13724","  3"
"2022-23","Fall","ECE","2214","Physical Electronics","Zhou","3.23","38.5","7.7","11.5","13.5","11.5","0","11.5","1.9","1.9","1.9","0","0","5","52","83593","  3"
"2022-23","Spring","ECE","2214","Physical Electronics","Zhou","3.19","21.1","11.3","38","9.9","7","2.8","5.6","0","0","0","1.4","2.8","2","71","13722","  3"
"2022-23","Spring","ECE","2214","Physical Electronics","Hudait","3.35","23.6","12.5","40.3","8.3","8.3","1.4","5.6","0","0","0","0","0","0","72","13723","  3"
