"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2019-20","Spring","ECON","3214","Money and Banking","Liu","3.71","50","25","12.5","12.5","0","0","0","0","0","0","0","0","0","8","14017","  3"
"2020-21","Spring","ECON","3214","Money and Banking","Liu","3.46","37.5","25","12.5","0","12.5","12.5","0","0","0","0","0","0","1","8","22178","  3"
"2019-20","Fall","ECON","3214","Money and Banking","Liu","3.21","10","40","20","10","10","0","0","0","0","10","0","0","0","10","83675","  3"
"2018-19","Fall","ECON","3214","Money and Banking","Liu","3.25","27.3","18.2","9.1","0","36.4","9.1","0","0","0","0","0","0","2","11","83506","  3"
"2019-20","Spring","ECON","3214","Money and Banking","Liu","3.47","16.7","25","41.7","16.7","0","0","0","0","0","0","0","0","0","12","14018","  3"
"2018-19","Spring","ECON","3214","Money and Banking","Liu","3.57","46.2","23.1","15.4","7.7","0","0","0","7.7","0","0","0","0","0","13","13652","  3"
"2018-19","Fall","ECON","3214","Money and Banking","Liu","3.08","28.6","7.1","7.1","7.1","28.6","7.1","14.3","0","0","0","0","0","0","14","83507","  3"
"2021-22","Spring","ECON","3214","Money and Banking","Liu","2.32","7.1","28.6","0","21.4","7.1","0","7.1","0","0","0","0","28.6","2","14","14393","  3"
"2021-22","Spring","ECON","3214","Money and Banking","Liu","3.05","20","13.3","6.7","26.7","6.7","6.7","20","0","0","0","0","0","1","15","20275","  3"
"2019-20","Fall","ECON","3214","Money and Banking","Liu","3.14","5.9","23.5","23.5","17.6","11.8","17.6","0","0","0","0","0","0","1","17","83676","  3"
"2018-19","Spring","ECON","3214","Money and Banking","Liu","2.6","16.7","11.1","11.1","11.1","11.1","5.6","0","16.7","5.6","0","5.6","5.6","0","18","13651","  3"
"2021-22","Fall","ECON","3214","Money and Banking","Liu","2.72","15.8","5.3","21.1","15.8","10.5","0","10.5","10.5","0","5.3","0","5.3","0","19","84097","  3"
"2022-23","Fall","ECON","3214","Money and Banking","Liu","2.97","40","0","0","25","15","5","5","0","0","0","0","10","1","20","84336","  3"
"2022-23","Spring","ECON","3214","Money and Banking","Liu","3.4","52.4","9.5","9.5","9.5","9.5","0","0","0","0","9.5","0","0","1","21","14552","  3"
"2020-21","Fall","ECON","3214","Money and Banking","Liu","2.93","0","22.7","9.1","27.3","18.2","9.1","13.6","0","0","0","0","0","0","22","83977","  3"
"2021-22","Fall","ECON","3214","Money and Banking","Liu","2.71","16.7","8.3","0","16.7","12.5","20.8","20.8","0","0","0","0","4.2","1","24","84096","  3"
"2020-21","Spring","ECON","3214","Money and Banking","Liu","2.83","28","4","12","8","8","4","24","4","0","4","4","0","4","25","14283","  3"
