"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Maczka","3.3","31.8","18.2","18.2","9.1","9.1","4.5","4.5","0","0","4.5","0","0","1","22","83794","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Das","3.51","56","12","12","8","4","0","4","0","0","0","0","4","1","25","83791","  2"
"2018-19","Spring","ENGE","1215","Foundations of Engineering","Ohanehi","3.31","26.9","34.6","7.7","7.7","3.8","3.8","3.8","11.5","0","0","0","0","0","26","13937","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Murzi Escobar","2.99","22.2","22.2","7.4","14.8","7.4","11.1","3.7","3.7","0","0","0","7.4","1","27","83792","  2"
"2018-19","Spring","ENGE","1215","Foundations of Engineering","Ohanehi","3.1","18.5","33.3","18.5","11.1","0","3.7","0","3.7","0","3.7","0","7.4","0","27","13945","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Ohanehi","3.35","17.9","32.1","17.9","17.9","3.6","7.1","0","3.6","0","0","0","0","0","28","83827","  2"
"2018-19","Spring","ENGE","1215","Foundations of Engineering","Ohanehi","3.26","35.7","25","7.1","3.6","10.7","3.6","3.6","7.1","0","0","0","3.6","0","28","13938","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Kenny","3.21","6.9","27.6","24.1","27.6","3.4","6.9","0","0","0","3.4","0","0","1","29","83821","  2"
"2018-19","Spring","ENGE","1215","Foundations of Engineering","Ohanehi","3.37","27.6","20.7","31","10.3","3.4","0","3.4","0","0","0","0","3.4","0","29","13939","  2"
"2018-19","Spring","ENGE","1215","Foundations of Engineering","Lo","2.96","34.5","6.9","13.8","10.3","10.3","3.4","3.4","3.4","0","6.9","0","6.9","0","29","13941","  2"
"2018-19","Spring","ENGE","1215","Foundations of Engineering","Ohanehi","3.13","24.1","6.9","17.2","24.1","10.3","10.3","3.4","0","0","3.4","0","0","2","29","13946","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Goldsmith","3.5","60","13.3","6.7","3.3","0","6.7","6.7","0","0","0","0","3.3","0","30","83812","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Ohanehi","3.47","25.8","29","25.8","9.7","3.2","3.2","3.2","0","0","0","0","0","0","31","83815","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Chambers","3.4","29","25.8","19.4","19.4","0","0","0","0","0","6.5","0","0","1","31","83818","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Ohanehi","3.44","22.6","32.3","16.1","12.9","12.9","3.2","0","0","0","0","0","0","0","31","83820","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Shih","3.44","29","22.6","29","9.7","0","3.2","3.2","3.2","0","0","0","0","1","31","83823","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Chakraborty","3.41","29","22.6","19.4","12.9","6.5","6.5","3.2","0","0","0","0","0","1","31","83841","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Lo","3.69","71","9.7","3.2","3.2","6.5","0","3.2","3.2","0","0","0","0","2","31","83842","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Hodges","3.61","54.8","16.1","16.1","0","3.2","3.2","6.5","0","0","0","0","0","0","31","83856","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Hodges","3.61","58.1","12.9","9.7","6.5","6.5","0","3.2","3.2","0","0","0","0","1","31","89629","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Matusovich","3.17","32.3","16.1","16.1","16.1","6.5","0","0","0","0","9.7","0","3.2","1","31","89638","  2"
"2018-19","Spring","ENGE","1215","Foundations of Engineering","Lo","3.56","58.1","19.4","3.2","6.5","3.2","3.2","0","0","0","6.5","0","0","1","31","13944","  2"
"2020-21","Spring","ENGE","1215","Foundations of Engineering","Paradise","2.72","32.3","9.7","6.5","12.9","3.2","0","6.5","6.5","6.5","6.5","0","9.7","0","31","14567","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Goldsmith","3.43","28.1","50","0","6.3","6.3","3.1","0","0","0","3.1","0","3.1","0","32","83793","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Goldsmith","3.46","43.8","15.6","15.6","12.5","3.1","3.1","0","3.1","0","3.1","0","0","0","32","83822","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Gray","3.56","53.1","18.8","6.3","6.3","6.3","6.3","0","0","0","3.1","0","0","1","32","83844","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Lo","3.84","75","15.6","0","6.3","0","3.1","0","0","0","0","0","0","1","32","89614","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Gray","3.64","53.1","18.8","12.5","9.4","0","3.1","0","3.1","0","0","0","0","0","32","89615","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Tandiya","3.5","46.9","18.8","12.5","0","15.6","0","3.1","0","0","3.1","0","0","2","32","89621","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Afonja","3.43","28.1","31.3","18.8","6.3","9.4","0","3.1","0","0","3.1","0","0","0","32","89622","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Chambers","3.7","53.1","28.1","6.3","6.3","0","6.3","0","0","0","0","0","0","1","32","89623","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Tandiya","3.63","50","31.3","0","6.3","6.3","0","3.1","3.1","0","0","0","0","0","32","89634","  2"
"2018-19","Fall","ENGE","1215","Foundations of Engineering","Hodges","3.83","59.4","31.3","6.3","3.1","0","0","0","0","0","0","0","0","0","32","89635","  2"
