"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2018-19","Fall","ENGR","3124","Green Engineering","Scott","3.51","42.9","19.6","14.3","10.7","3.6","3.6","1.8","3.6","0","0","0","0","0","56","84219","  3"
"2019-20","Fall","ENGR","3124","Green Engineering","Scott","3.54","44.6","23.2","8.9","14.3","5.4","0","0","1.8","0","0","0","1.8","2","56","84382","  3"
"2019-20","Spring","ENGR","3124","Green Engineering","Benning","3.8","63.2","18.4","13.2","3.9","1.3","0","0","0","0","0","0","0","0","76","14645","  3"
"2018-19","Spring","ENGR","3124","Green Engineering","Cox","3.55","48.1","15.6","15.6","10.4","5.2","1.3","2.6","0","0","0","0","1.3","0","77","14356","  3"
"2020-21","Fall","ENGR","3124","Green Engineering","Scott","3.77","64.9","16.9","10.4","3.9","2.6","0","0","0","1.3","0","0","0","0","77","84685","  3"
"2021-22","Fall","ENGR","3124","Green Engineering","Scott","3.51","50","18.8","10","5","6.3","3.8","3.8","0","0","0","1.3","1.3","2","80","84825","  3"
"2022-23","Fall","ENGR","3124","Green Engineering","Scott","3.38","37.5","23.8","7.5","10","6.3","6.3","3.8","1.3","1.3","2.5","0","0","0","80","85049","  3"
"2020-21","Fall","ENGR","3124","Green Engineering","McGinnis","3.78","72.6","14.3","2.4","6","1.2","1.2","0","1.2","0","1.2","0","0","0","84","84686","  3"
"2021-22","Fall","ENGR","3124","Green Engineering","McGinnis","3.67","66.7","14.9","4.6","5.7","3.4","1.1","0","0","0","0","1.1","2.3","1","87","84826","  3"
"2019-20","Fall","ENGR","3124","Green Engineering","McGinnis","3.75","59.6","16.9","13.5","7.9","2.2","0","0","0","0","0","0","0","0","89","84381","  3"
"2018-19","Fall","ENGR","3124","Green Engineering","McGinnis","3.62","45.6","22.2","17.8","8.9","3.3","0","1.1","0","0","1.1","0","0","1","90","84220","  3"
"2021-22","Spring","ENGR","3124","Green Engineering","Benning","3.61","58.2","12.1","8.8","8.8","4.4","3.3","2.2","2.2","0","0","0","0","0","91","15107","  3"
"2022-23","Fall","ENGR","3124","Green Engineering","McGinnis","3.53","50.5","21.5","9.7","6.5","4.3","0","2.2","1.1","1.1","1.1","0","2.2","4","93","85050","  3"
"2022-23","Spring","ENGR","3124","Green Engineering","Benning","3.47","55.1","15.3","7.1","5.1","4.1","5.1","3.1","1","0","0","0","4.1","2","98","15268","  3"
"2020-21","Spring","ENGR","3124","Green Engineering","Benning","3.75","69.5","14.4","4.2","7.6","1.7","0","0.8","0","0","0.8","0","0.8","0","118","14981","  3"
