"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2019-20","Spring","ESM","2204","Mechanics of Deformable Bodies","Thangjitham","3.24","28.6","14.3","28.6","0","14.3","0","0","14.3","0","0","0","0","0","7","14720","  3"
"2018-19","Spring","ESM","2204","Mechanics of Deformable Bodies","Thangjitham","2.84","33.3","0","11.1","11.1","0","11.1","11.1","11.1","11.1","0","0","0","6","9","14434","  3"
"2022-23","Spring","ESM","2204","Mechanics of Deformable Bodies","Aidi","3.03","22.2","0","22.2","22.2","22.2","0","0","0","11.1","0","0","0","0","9","15341","  3"
"2018-19","Spring","ESM","2204","Mechanics of Deformable Bodies","Thangjitham","2.51","23.1","0","0","38.5","0","15.4","0","0","0","7.7","0","15.4","6","13","14433","  3"
"2018-19","Fall","ESM","2204","Mechanics of Deformable Bodies","Thangjitham","2.81","25","0","6.3","31.3","6.3","6.3","6.3","6.3","6.3","0","6.3","0","3","16","84286","  3"
"2019-20","Spring","ESM","2204","Mechanics of Deformable Bodies","Jahromi Shirazi","3.35","47.1","5.9","17.6","11.8","11.8","0","0","0","0","0","0","5.9","0","17","14715","  3"
"2020-21","Spring","ESM","2204","Mechanics of Deformable Bodies","Kim","3.18","23.5","0","17.6","35.3","17.6","0","5.9","0","0","0","0","0","0","17","15059","  3"
"2019-20","Spring","ESM","2204","Mechanics of Deformable Bodies","Lord","3.49","36.4","13.6","22.7","13.6","13.6","0","0","0","0","0","0","0","0","22","14722","  3"
"2020-21","Spring","ESM","2204","Mechanics of Deformable Bodies","Galitz","2.94","21.7","4.3","13","21.7","8.7","8.7","13","4.3","4.3","0","0","0","0","23","15058","  3"
"2018-19","Spring","ESM","2204","Mechanics of Deformable Bodies","Thangjitham","2.41","16.7","0","16.7","20.8","0","0","12.5","8.3","4.2","12.5","0","8.3","12","24","14429","  3"
"2021-22","Spring","ESM","2204","Mechanics of Deformable Bodies","Aidi","2.74","20.8","8.3","4.2","20.8","12.5","8.3","4.2","4.2","8.3","4.2","0","4.2","3","24","15189","  3"
"2022-23","Spring","ESM","2204","Mechanics of Deformable Bodies","Cook","3.37","37.5","29.2","4.2","12.5","4.2","4.2","0","4.2","0","0","0","4.2","3","24","15340","  3"
"2018-19","Fall","ESM","2204","Mechanics of Deformable Bodies","Thangjitham","2.04","6.7","10","0","10","0","10","13.3","23.3","6.7","10","3.3","6.7","5","30","84287","  3"
"2022-23","Fall","ESM","2204","Mechanics of Deformable Bodies","Davison","2.73","50","0","0","6.7","3.3","3.3","10","0","0","16.7","0","10","11","30","85127","  3"
"2020-21","Fall","ESM","2204","Mechanics of Deformable Bodies","Aidi","2.9","16.1","19.4","9.7","12.9","12.9","6.5","9.7","6.5","0","3.2","0","3.2","0","31","84761","  3"
"2021-22","Fall","ESM","2204","Mechanics of Deformable Bodies","Davison","2.69","31.3","0","6.3","21.9","0","3.1","9.4","6.3","9.4","9.4","0","3.1","5","32","84904","  3"
"2021-22","Fall","ESM","2204","Mechanics of Deformable Bodies","Aidi","2.07","15.2","3","6.1","3","0","9.1","24.2","6.1","9.1","12.1","3","9.1","5","33","84905","  3"
"2019-20","Fall","ESM","2204","Mechanics of Deformable Bodies","Davison","2.59","22.2","5.6","2.8","13.9","8.3","5.6","19.4","8.3","5.6","2.8","0","5.6","4","36","84451","  3"
"2019-20","Fall","ESM","2204","Mechanics of Deformable Bodies","Thangjitham","2.05","16.7","5.6","2.8","11.1","5.6","5.6","5.6","16.7","0","8.3","0","22.2","8","36","84453","  3"
"2022-23","Fall","ESM","2204","Mechanics of Deformable Bodies","Gragg","2.31","16.7","2.8","8.3","19.4","2.8","5.6","13.9","8.3","0","0","8.3","13.9","2","36","85125","  3"
"2019-20","Spring","ESM","2204","Mechanics of Deformable Bodies","Davison","3.52","50","18.4","5.3","13.2","2.6","2.6","5.3","0","2.6","0","0","0","0","38","14714","  3"
"2018-19","Spring","ESM","2204","Mechanics of Deformable Bodies","Lord","2.61","10.3","10.3","2.6","15.4","12.8","12.8","12.8","17.9","5.1","0","0","0","2","39","14435","  3"
"2018-19","Fall","ESM","2204","Mechanics of Deformable Bodies","Pendar","2.17","4.9","2.4","7.3","12.2","9.8","12.2","12.2","19.5","4.9","7.3","2.4","4.9","2","41","84288","  3"
"2022-23","Spring","ESM","2204","Mechanics of Deformable Bodies","Lord","2.26","18.6","4.7","0","9.3","2.3","9.3","18.6","16.3","7","4.7","0","9.3","1","43","15345","  3"
"2019-20","Fall","ESM","2204","Mechanics of Deformable Bodies","Galitz","2.8","28.9","2.2","11.1","8.9","4.4","15.6","15.6","6.7","2.2","0","0","4.4","2","45","91580","  3"
"2020-21","Fall","ESM","2204","Mechanics of Deformable Bodies","Gragg","2.58","4.4","6.7","4.4","22.2","8.9","35.6","8.9","4.4","2.2","0","0","2.2","0","45","84760","  3"
"2021-22","Spring","ESM","2204","Mechanics of Deformable Bodies","Lord","2.84","22.2","13.3","8.9","15.6","13.3","4.4","2.2","4.4","4.4","4.4","2.2","4.4","0","45","15184","  3"
"2021-22","Spring","ESM","2204","Mechanics of Deformable Bodies","Galitz","3.19","43.5","8.7","4.3","10.9","13","2.2","6.5","2.2","2.2","6.5","0","0","5","46","15187","  3"
"2021-22","Fall","ESM","2204","Mechanics of Deformable Bodies","Lord","2.29","10.6","10.6","6.4","14.9","8.5","10.6","6.4","4.3","4.3","8.5","0","14.9","2","47","84907","  3"
"2021-22","Spring","ESM","2204","Mechanics of Deformable Bodies","Lord","1.98","12.8","6.4","4.3","12.8","0","10.6","10.6","8.5","4.3","2.1","4.3","23.4","3","47","15188","  3"
"2022-23","Fall","ESM","2204","Mechanics of Deformable Bodies","Lord","1.95","8.2","10.2","2","4.1","12.2","8.2","10.2","6.1","12.2","4.1","4.1","18.4","6","49","85128","  3"
"2020-21","Spring","ESM","2204","Mechanics of Deformable Bodies","Saverot","2.95","24","16","12","10","12","2","8","10","0","0","0","6","0","50","20678","  3"
"2019-20","Spring","ESM","2204","Mechanics of Deformable Bodies","Lord","3.25","34.6","5.8","13.5","19.2","13.5","9.6","0","1.9","0","0","1.9","0","0","52","14716","  3"
"2020-21","Fall","ESM","2204","Mechanics of Deformable Bodies","Davison","2.77","28.3","0","11.3","13.2","13.2","5.7","9.4","3.8","5.7","3.8","1.9","3.8","1","53","84759","  3"
"2022-23","Spring","ESM","2204","Mechanics of Deformable Bodies","Galitz","3.12","48.1","7.4","5.6","5.6","9.3","3.7","0","5.6","5.6","5.6","1.9","1.9","0","54","15338","  3"
"2019-20","Spring","ESM","2204","Mechanics of Deformable Bodies","Chang","3.71","57.1","19.6","7.1","12.5","1.8","1.8","0","0","0","0","0","0","0","56","14717","  3"
"2020-21","Spring","ESM","2204","Mechanics of Deformable Bodies","Davison","2.68","21.4","0","14.3","17.9","10.7","8.9","10.7","1.8","3.6","1.8","1.8","7.1","15","56","15056","  3"
"2019-20","Fall","ESM","2204","Mechanics of Deformable Bodies","Davison","2.49","24.1","5.2","6.9","10.3","3.4","17.2","3.4","3.4","10.3","3.4","1.7","10.3","9","58","84452","  3"
"2019-20","Fall","ESM","2204","Mechanics of Deformable Bodies","Lord","2.61","17.2","6.9","8.6","8.6","17.2","6.9","12.1","6.9","6.9","5.2","0","3.4","0","58","84454","  3"
"2019-20","Spring","ESM","2204","Mechanics of Deformable Bodies","Gragg","3.37","27.1","25.4","13.6","20.3","3.4","5.1","1.7","1.7","0","0","1.7","0","0","59","14719","  3"
"2021-22","Fall","ESM","2204","Mechanics of Deformable Bodies","Galitz","2.67","32.8","4.9","6.6","6.6","6.6","6.6","8.2","8.2","6.6","3.3","1.6","8.2","5","61","84906","  3"
"2022-23","Spring","ESM","2204","Mechanics of Deformable Bodies","Galitz","3","29.5","6.6","11.5","14.8","8.2","8.2","11.5","3.3","0","6.6","0","0","2","61","15344","  3"
"2018-19","Fall","ESM","2204","Mechanics of Deformable Bodies","Galitz","3.01","33.3","9.5","6.3","19","4.8","6.3","4.8","6.3","1.6","4.8","0","3.2","5","63","84285","  3"
"2020-21","Fall","ESM","2204","Mechanics of Deformable Bodies","Lord","2.65","17.5","7.9","12.7","6.3","14.3","6.3","9.5","11.1","4.8","6.3","1.6","1.6","0","63","84763","  3"
"2022-23","Fall","ESM","2204","Mechanics of Deformable Bodies","Davison","2.17","23.8","1.6","4.8","12.7","4.8","4.8","9.5","3.2","1.6","7.9","4.8","20.6","6","63","85126","  3"
"2018-19","Spring","ESM","2204","Mechanics of Deformable Bodies","Pendar","2.73","11.3","9.9","11.3","18.3","11.3","12.7","8.5","8.5","1.4","7","0","0","6","71","14430","  3"
