Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
2019-20,Spring,GEOS,1034,Earth's Natural Hazards,Stamps,3.56,69.4,0,0,19.4,0,0,8.3,0,0,2.8,0,0,0,36,15270,3
2018-19,Spring,GEOS,1034,Earth's Natural Hazards,Stamps,3.67,75.6,0,0,15.6,0,0,8.9,0,0,0,0,0,0,45,19910,3
2018-19,Fall,GEOS,1034,Earth's Natural Hazards,Johnson,2.58,5.1,2,17.2,23.2,13.1,13.1,11.1,7.1,1,1,2,4,3,99,89313,3
2019-20,Spring,GEOS,1034,Earth's Natural Hazards,Zhou,3.82,85.6,0,0,11.7,0,0,1.8,0,0,0,0.9,0,0,111,15271,3
2018-19,Spring,GEOS,1034,Earth's Natural Hazards,Zhou,3.4,58.9,0,0,27.7,0,0,8,0,0,5.4,0,0,3,112,14923,3
2019-20,Fall,GEOS,1034,Earth's Natural Hazards,Zhou,3.53,68.8,0,0,20.5,0,0,6.3,0,0,3.6,0,0.9,0,112,90447,3
2019-20,Spring,GEOS,1034,Earth's Natural Hazards,Johnson,3.07,11.4,15.8,23.7,17.5,14.9,7.9,6.1,0.9,0,0,0,1.8,0,114,15269,3
2018-19,Spring,GEOS,1034,Earth's Natural Hazards,Johnson,2.53,3.1,8.5,10.1,17.8,15.5,9.3,20.2,6.2,5.4,1.6,0,2.3,4,129,14922,3
2018-19,Fall,GEOS,1034,Earth's Natural Hazards,Stamps,3.51,66.7,0,0,23.7,0,0,5.2,0,0,3,0,1.5,1,135,84737,3
2019-20,Fall,GEOS,1034,Earth's Natural Hazards,Stamps,3.74,77.6,0,0,19.6,0,0,2.1,0,0,0.7,0,0,0,143,84931,3
2019-20,Fall,GEOS,1034,Earth's Natural Hazards,Johnson,2.57,5.9,4.8,12.3,18.7,18.2,9.6,14.4,6.4,2.7,3.2,2.1,1.6,2,187,84932,3
2020-21,Spring,GEOS,1034,Earth's Natural Hazards,Zhou,3.63,73,0,0,20.6,0,0,4.8,0,0,0,0,1.6,0,63,15711,3
2020-21,Spring,GEOS,1034,Earth's Natural Hazards,Stamps,3.81,85.9,0,0,9.4,0,0,4.7,0,0,0,0,0,0,64,15710,3
2022-23,Spring,GEOS,1034,Earth's Natural Hazards,Johnson,2.5,6.5,5.2,10.4,16.9,16.9,11.7,11.7,10.4,1.3,3.9,1.3,3.9,4,77,16019,3
2021-22,Spring,GEOS,1034,Earth's Natural Hazards,Johnson,2.58,2.3,8.1,12.8,17.4,12.8,19.8,15.1,3.5,3.5,2.3,1.2,1.2,0,86,15853,3
2020-21,Fall,GEOS,1034,Earth's Natural Hazards,Zhou,3.71,78.8,0,0,16.3,0,0,2.9,0,0,1,0,1,1,104,85329,3
2021-22,Fall,GEOS,1034,Earth's Natural Hazards,Zhou,3.62,68.4,0,0,26.3,0,0,4.4,0,0,0.9,0,0,0,114,85477,3
2022-23,Fall,GEOS,1034,Earth's Natural Hazards,Zhou,3.58,64.7,0,0,30.2,0,0,4.3,0,0,0,0,0.9,1,116,85778,3
2020-21,Spring,GEOS,1034,Earth's Natural Hazards,Johnson,3.13,29.7,8,18.8,16.7,10.1,2.9,6.5,2.2,0,0.7,0.7,3.6,0,138,15709,3
2021-22,Fall,GEOS,1034,Earth's Natural Hazards,Stamps,3.56,71.1,0,0,19,0,0,7,0,0,0.7,0,2.1,1,142,91323,3
2021-22,Spring,GEOS,1034,Earth's Natural Hazards,Zhou,3.55,67.5,0,0,24.8,0,0,5.1,0,0,0.6,0,1.9,2,157,15854,3
2022-23,Fall,GEOS,1034,Earth's Natural Hazards,Johnson,2.57,6.3,7.5,7.5,19.5,16.4,10.7,17,5,3.1,4.4,1.3,1.3,9,159,85777,3
2021-22,Fall,GEOS,1034,Earth's Natural Hazards,Johnson,2.62,9.1,4.3,12.8,17.6,15.5,11.2,11.2,10.2,3.2,1.6,1.6,1.6,3,187,85476,3
2020-21,Fall,GEOS,1034,Earth's Natural Hazards,Johnson,3.18,31.4,10.6,15.4,12.8,13.3,4.3,6.4,2.7,0,1.1,0,2.1,1,188,85327,3
