"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2018-19","Fall","GEOS","3404","Elements of Structural Geology","Law","2.54","0","0","0","20","40","20","20","0","0","0","0","0","0","5","84762","  3"
"2020-21","Fall","GEOS","3404","Elements of Structural Geology","Law","3.23","16.7","33.3","16.7","16.7","0","0","0","16.7","0","0","0","0","0","6","85369","  3"
"2021-22","Fall","GEOS","3404","Elements of Structural Geology","Law","2.68","12.5","12.5","12.5","25","0","0","12.5","12.5","0","0","12.5","0","0","8","85516","  3"
"2020-21","Fall","GEOS","3404","Elements of Structural Geology","Law","2.76","10","0","30","20","10","10","0","10","0","10","0","0","0","10","85368","  3"
"2018-19","Fall","GEOS","3404","Elements of Structural Geology","Law","2.64","25","0","8.3","8.3","8.3","8.3","25","8.3","0","0","8.3","0","0","12","84761","  3"
"2019-20","Fall","GEOS","3404","Elements of Structural Geology","Law","2.89","16.7","8.3","0","25","16.7","25","0","8.3","0","0","0","0","1","12","84960","  3"
"2021-22","Fall","GEOS","3404","Elements of Structural Geology","Law","2.69","16.7","8.3","16.7","8.3","8.3","16.7","8.3","0","0","8.3","8.3","0","0","12","85515","  3"
"2022-23","Fall","GEOS","3404","Elements of Structural Geology","Law","2.18","16.7","8.3","0","8.3","16.7","8.3","8.3","0","0","8.3","8.3","16.7","0","12","85806","  3"
"2022-23","Fall","GEOS","3404","Elements of Structural Geology","Law","2.13","0","0","7.7","0","23.1","23.1","23.1","7.7","0","7.7","7.7","0","2","13","85805","  3"
"2019-20","Fall","GEOS","3404","Elements of Structural Geology","Law","2.74","0","26.7","13.3","6.7","20","13.3","0","6.7","6.7","6.7","0","0","0","15","84961","  3"
