"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2020-21","Spring","ISE","2214","Manufacturing Processes Lab","Johnson","3.74","55.6","22.2","11.1","11.1","0","0","0","0","0","0","0","0","0","9","16395","  1"
"2020-21","Spring","ISE","2214","Manufacturing Processes Lab","Johnson","3.36","63.6","9.1","9.1","0","0","0","9.1","0","0","0","0","9.1","0","11","16389","  1"
"2019-20","Spring","ISE","2214","Manufacturing Processes Lab","Kong","3.54","43.8","18.8","12.5","12.5","6.3","6.3","0","0","0","0","0","0","0","16","19791","  1"
"2021-22","Spring","ISE","2214","Manufacturing Processes Lab","Johnson","3.91","82.4","11.8","0","5.9","0","0","0","0","0","0","0","0","0","17","16520","  1"
"2019-20","Spring","ISE","2214","Manufacturing Processes Lab","Kong","3.68","57.9","15.8","10.5","10.5","0","5.3","0","0","0","0","0","0","0","19","15911","  1"
"2019-20","Spring","ISE","2214","Manufacturing Processes Lab","Kong","3.92","78.9","15.8","5.3","0","0","0","0","0","0","0","0","0","0","19","15919","  1"
"2019-20","Fall","ISE","2214","Manufacturing Processes Lab","Johnson","3.06","15","10","20","25","10","10","5","5","0","0","0","0","1","20","85601","  1"
"2019-20","Spring","ISE","2214","Manufacturing Processes Lab","Kong","3.94","85","10","5","0","0","0","0","0","0","0","0","0","0","20","15912","  1"
"2020-21","Fall","ISE","2214","Manufacturing Processes Lab","Shewchuk","3.64","50","15","10","25","0","0","0","0","0","0","0","0","0","20","86043","  1"
"2020-21","Spring","ISE","2214","Manufacturing Processes Lab","Johnson","3.39","40","5","30","15","5","0","0","0","0","0","5","0","0","20","20414","  1"
"2019-20","Fall","ISE","2214","Manufacturing Processes Lab","Johnson","3.4","14.3","33.3","19","23.8","9.5","0","0","0","0","0","0","0","0","21","85607","  1"
"2019-20","Fall","ISE","2214","Manufacturing Processes Lab","Johnson","3.38","19","38.1","4.8","14.3","19","4.8","0","0","0","0","0","0","0","21","85615","  1"
"2019-20","Spring","ISE","2214","Manufacturing Processes Lab","Kong","3.83","61.9","28.6","4.8","4.8","0","0","0","0","0","0","0","0","0","21","15914","  1"
