Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
2019-20,Fall,ISE,4204,Production Plan Invent Ctrl,Ellis,3.5,47.7,14,7,18.6,2.3,4.7,5.8,0,0,0,0,0,0,86,85629,3
2019-20,Fall,ISE,4204,Production Plan Invent Ctrl,Ellis,3.64,54.4,15.6,8.9,15.6,1.1,2.2,2.2,0,0,0,0,0,0,90,85630,3
2018-19,Fall,ISE,4204,Production Plan Invent Ctrl,Ellis,3.64,54.3,16.3,9.8,14.1,1.1,2.2,1.1,1.1,0,0,0,0,0,92,85363,3
2018-19,Fall,ISE,4204,Production Plan Invent Ctrl,Ellis,3.57,58,5,10,16,5,3,2,0,0,1,0,0,0,100,85362,3
2019-20,Spring,ISE,4204,Production Plan Inventory Ctrl,Cherbaka,3.68,46.7,22.2,22.2,6.7,2.2,0,0,0,0,0,0,0,0,45,20506,3
2019-20,Spring,ISE,4204,Production Plan Inventory Ctrl,Cherbaka,3.74,53.1,21.9,17.2,7.8,0,0,0,0,0,0,0,0,0,64,20505,3
2022-23,Spring,ISE,4204,Production Plan Inventory Ctrl,Cherbaka,3.18,25.6,21.8,10.3,11.5,11.5,10.3,5.1,0,1.3,0,0,2.6,1,78,16740,3
2020-21,Spring,ISE,4204,Production Plan Inventory Ctrl,Ellis,3.62,62.4,9.4,7.1,9.4,7.1,0,2.4,1.2,0,0,0,1.2,0,85,16423,3
2020-21,Spring,ISE,4204,Production Plan Inventory Ctrl,Ellis,3.68,63.3,15.6,5.6,4.4,3.3,4.4,3.3,0,0,0,0,0,0,90,16422,3
2022-23,Spring,ISE,4204,Production Plan Inventory Ctrl,Cherbaka,3.08,21.3,13.8,14.9,18.1,7.4,11.7,7.4,3.2,0,1.1,0,1.1,3,94,16739,3
2021-22,Spring,ISE,4204,Production Plan Inventory Ctrl,Tilashalski,3.59,51.4,15.6,11,11,4.6,2.8,3.7,0,0,0,0,0,0,109,16560,3
2021-22,Spring,ISE,4204,Production Plan Inventory Ctrl,Tilashalski,3.59,56.4,13.6,12.7,4.5,4.5,3.6,1.8,1.8,0,0,0,0.9,0,110,16561,3
