"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2022-23","Spring","MATH","1536","Geometry Mathematics of Design","Zachrich","2.54","20","0","0","20","20","0","20","0","0","20","0","0","0","5","17245","  3"
"2018-19","Spring","MATH","1536","Geometry Mathematics of Design","Robbins","2.87","23.1","15.4","15.4","7.7","0","7.7","23.1","0","0","0","0","7.7","1","13","15948","  3"
"2020-21","Spring","MATH","1536","Geometry Mathematics of Design","Gildersleeve","2.78","16.7","16.7","11.1","16.7","5.6","5.6","5.6","5.6","0","11.1","5.6","0","1","18","16896","  3"
"2018-19","Spring","MATH","1536","Geometry Mathematics of Design","Robbins","2.67","20","5","0","30","5","0","20","5","10","0","5","0","4","20","15949","  3"
"2019-20","Spring","MATH","1536","Geometry Mathematics of Design","Gildersleeve","3.44","34.8","21.7","17.4","8.7","8.7","0","8.7","0","0","0","0","0","0","23","16366","  3"
"2021-22","Spring","MATH","1536","Geometry Mathematics of Design","Zachrich","2.46","12.5","12.5","3.1","15.6","9.4","9.4","6.3","15.6","0","6.3","0","9.4","2","32","21790","  3"
"2021-22","Spring","MATH","1536","Geometry Mathematics of Design","Zachrich","2.95","27.3","15.9","2.3","18.2","6.8","4.5","9.1","6.8","0","6.8","0","2.3","0","44","21791","  3"
"2021-22","Spring","MATH","1536","Geometry Mathematics of Design","Zachrich","2.91","22.7","13.6","11.4","13.6","13.6","2.3","9.1","2.3","0","6.8","0","4.5","3","44","21792","  3"
"2022-23","Spring","MATH","1536","Geometry Mathematics of Design","Zachrich","3.05","22.9","25","4.2","10.4","16.7","6.3","4.2","2.1","0","4.2","0","4.2","6","48","17244","  3"
"2019-20","Spring","MATH","1536","Geometry Mathematics of Design","Gildersleeve","3.4","38","20","18","8","4","2","4","4","0","0","0","2","0","50","16365","  3"
"2019-20","Spring","MATH","1536","Geometry Mathematics of Design","Gildersleeve","3.48","46.4","12.5","17.9","8.9","3.6","0","7.1","3.6","0","0","0","0","0","56","16364","  3"
"2022-23","Spring","MATH","1536","Geometry Mathematics of Design","Zachrich","3.23","35.7","14.3","3.6","19.6","7.1","5.4","7.1","5.4","0","1.8","0","0","2","56","17246","  3"
"2019-20","Spring","MATH","1536","Geometry Mathematics of Design","Gildersleeve","3.39","49.2","11.9","10.2","13.6","3.4","1.7","3.4","0","3.4","0","0","3.4","0","59","16363","  3"
"2022-23","Spring","MATH","1536","Geometry Mathematics of Design","Zachrich","3.29","37.3","18.6","11.9","6.8","8.5","3.4","5.1","5.1","0","1.7","0","1.7","1","59","17247","  3"
"2021-22","Spring","MATH","1536","Geometry Mathematics of Design","Zachrich","2.62","11.5","18","3.3","13.1","8.2","4.9","18","14.8","0","4.9","0","3.3","2","61","21789","  3"
"2020-21","Spring","MATH","1536","Geometry Mathematics of Design","Gildersleeve","2.98","22.6","12.9","16.1","12.9","6.5","6.5","9.7","4.8","6.5","0","0","1.6","4","62","16895","  3"
"2018-19","Spring","MATH","1536","Geometry Mathematics of Design","Robbins","2.52","13.8","10.8","7.7","20","3.1","9.2","7.7","6.2","6.2","4.6","4.6","6.2","4","65","15947","  3"
"2020-21","Spring","MATH","1536","Geometry Mathematics of Design","Gildersleeve","3.16","30.9","17.6","13.2","10.3","7.4","7.4","2.9","4.4","0","1.5","1.5","2.9","1","68","16894","  3"
"2020-21","Spring","MATH","1536","Geometry Mathematics of Design","Gildersleeve","3.29","39.4","15.5","8.5","14.1","7","4.2","4.2","1.4","1.4","1.4","1.4","1.4","2","71","16893","  3"
"2018-19","Spring","MATH","1536","Geometry Mathematics of Design","Robbins","2.79","24.4","8.1","10.5","16.3","5.8","10.5","4.7","4.7","4.7","2.3","3.5","4.7","7","86","15946","  3"
