"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2019-20","Spring","ME","2134","Thermodynamics","Pacheco Duarte","3.67","38.1","42.9","4.8","4.8","9.5","0","0","0","0","0","0","0","0","21","19613","  4"
"2019-20","Spring","ME","2134","Thermodynamics","Smith","3.57","59.1","4.5","9.1","18.2","0","4.5","4.5","0","0","0","0","0","0","22","19611","  4"
"2019-20","Spring","ME","2134","Thermodynamics","Li","3.46","40","16","0","40","0","0","0","4","0","0","0","0","0","25","19610","  4"
"2019-20","Spring","ME","2134","Thermodynamics","Lattimer","3.47","44.4","11.1","14.8","7.4","18.5","0","3.7","0","0","0","0","0","0","27","19609","  4"
"2019-20","Fall","ME","2134","Thermodynamics","Smith","2.79","32.3","0","6.5","22.6","0","12.9","9.7","3.2","0","6.5","0","6.5","7","31","91732","  4"
"2021-22","Fall","ME","2134","Thermodynamics","Ellis","2.44","16.1","3.2","3.2","6.5","22.6","3.2","19.4","16.1","0","3.2","0","6.5","16","31","86976","  4"
"2021-22","Spring","ME","2134","Thermodynamics","von Spakovsky","2.49","12.5","12.5","6.3","3.1","18.8","0","21.9","12.5","0","3.1","6.3","3.1","12","32","17215","  4"
"2022-23","Fall","ME","2134","Thermodynamics","Warfford","2.73","23.5","17.6","0","14.7","14.7","0","2.9","11.8","0","0","5.9","8.8","2","34","87262","  4"
"2019-20","Spring","ME","2134","Thermodynamics","Rule","3.46","43.2","13.5","21.6","8.1","0","5.4","2.7","5.4","0","0","0","0","0","37","19612","  4"
"2020-21","Spring","ME","2134","Thermodynamics","von Spakovsky","2.37","8.1","2.7","8.1","21.6","13.5","10.8","16.2","2.7","0","2.7","2.7","10.8","15","37","17080","  4"
"2022-23","Fall","ME","2134","Thermodynamics","Meadows","2.31","21.1","13.2","2.6","10.5","7.9","2.6","2.6","10.5","0","5.3","2.6","21.1","4","38","87261","  4"
"2019-20","Fall","ME","2134","Thermodynamics","Dancey","2.74","27.5","5","7.5","17.5","7.5","5","12.5","2.5","0","7.5","0","7.5","10","40","91730","  4"
"2019-20","Fall","ME","2134","Thermodynamics","Meadows","2.35","12.2","4.9","7.3","12.2","12.2","9.8","9.8","14.6","4.9","0","2.4","9.8","4","41","91731","  4"
"2020-21","Spring","ME","2134","Thermodynamics","Ellis","2.59","7.3","12.2","17.1","19.5","2.4","12.2","9.8","4.9","2.4","2.4","2.4","7.3","23","41","17077","  4"
"2022-23","Fall","ME","2134","Thermodynamics","Gonzales","2.7","14.6","14.6","17.1","2.4","7.3","17.1","7.3","7.3","2.4","4.9","0","4.9","0","41","87263","  4"
"2020-21","Fall","ME","2134","Thermodynamics","Nain","2.51","7.1","7.1","14.3","11.9","14.3","11.9","9.5","7.1","7.1","4.8","2.4","2.4","4","42","86724","  4"
"2020-21","Fall","ME","2134","Thermodynamics","Qiao","2.93","18.6","7","20.9","9.3","14","14","7","4.7","0","4.7","0","0","3","43","86725","  4"
"2021-22","Spring","ME","2134","Thermodynamics","Aradhey","2.74","30.2","0","7","11.6","7","11.6","7","16.3","2.3","4.7","0","2.3","6","43","17218","  4"
"2022-23","Spring","ME","2134","Thermodynamics","von Spakovsky","1.96","13.3","0","4.4","0","24.4","4.4","6.7","15.6","4.4","4.4","2.2","20","13","45","17430","  4"
"2021-22","Fall","ME","2134","Thermodynamics","Meadows","2.62","30.4","2.2","13","0","8.7","8.7","10.9","13","0","2.2","0","10.9","6","46","86975","  4"
"2020-21","Fall","ME","2134","Thermodynamics","Rice","2.26","19.1","4.3","4.3","10.6","14.9","4.3","10.6","0","0","6.4","14.9","10.6","3","47","86726","  4"
"2021-22","Spring","ME","2134","Thermodynamics","Ellis","2.66","17","8.5","6.4","12.8","10.6","10.6","17","10.6","0","0","2.1","4.3","8","47","17216","  4"
"2021-22","Spring","ME","2134","Thermodynamics","Ng","2.81","4","10","18","20","18","16","6","4","2","2","0","0","6","50","17217","  4"
"2021-22","Spring","ME","2134","Thermodynamics","Li","2.92","20","8","0","24","22","0","22","4","0","0","0","0","5","50","17219","  4"
"2021-22","Fall","ME","2134","Thermodynamics","Lattimer","2.62","13.7","3.9","15.7","15.7","11.8","9.8","7.8","9.8","3.9","2","0","5.9","5","51","86974","  4"
"2020-21","Spring","ME","2134","Thermodynamics","Li","3.1","22.4","10.3","0","48.3","0","0","15.5","3.4","0","0","0","0","8","58","17078","  4"
"2022-23","Spring","ME","2134","Thermodynamics","Nain","2.13","1.7","12.1","5.2","10.3","13.8","5.2","20.7","5.2","6.9","5.2","0","13.8","6","58","17432","  4"
"2020-21","Spring","ME","2134","Thermodynamics","Ng","2.84","10.2","6.8","16.9","18.6","15.3","11.9","15.3","3.4","0","1.7","0","0","9","59","17079","  4"
"2020-21","Spring","ME","2134","Thermodynamics","Lattimer","2.83","28.8","11.9","5.1","6.8","11.9","6.8","6.8","13.6","0","1.7","1.7","5.1","5","59","17081","  4"
"2022-23","Spring","ME","2134","Thermodynamics","Ellis","2.92","17.7","16.1","11.3","19.4","6.5","9.7","6.5","3.2","0","6.5","1.6","1.6","4","62","17429","  4"
"2022-23","Spring","ME","2134","Thermodynamics","Gonzales","2.92","24.6","9.2","10.8","12.3","13.8","4.6","9.2","9.2","1.5","3.1","0","1.5","3","65","17433","  4"
