"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2019-20","Fall","MINE","2534","Mine Surveying and Mapping","Amini","2.82","22.2","0","11.1","22.2","22.2","0","0","11.1","0","11.1","0","0","0","9","87380","  3"
"2021-22","Fall","MINE","2534","Mine Surveying and Mapping","Monsalve Valencia","3.52","33.3","33.3","22.2","0","0","0","11.1","0","0","0","0","0","2","9","88516","  3"
"2022-23","Fall","MINE","2534","Mine Surveying and Mapping","Bishop","3.45","30","30","0","20","20","0","0","0","0","0","0","0","0","10","87904","  3"
"2022-23","Fall","MINE","2534","Mine Surveying and Mapping","Bishop","3.36","50","10","20","0","0","0","10","0","10","0","0","0","0","10","87905","  3"
"2018-19","Fall","MINE","2534","Mine Surveying and Mapping","Amini","3.02","18.2","0","36.4","9.1","9.1","9.1","18.2","0","0","0","0","0","0","11","86454","  3"
"2018-19","Fall","MINE","2534","Mine Surveying and Mapping","Amini","3.14","9.1","27.3","0","36.4","18.2","0","9.1","0","0","0","0","0","0","11","86455","  3"
"2020-21","Fall","MINE","2534","Mine Surveying and Mapping","Monsalve Valencia","2.85","18.2","9.1","9.1","18.2","9.1","9.1","9.1","18.2","0","0","0","0","0","11","88213","  3"
"2021-22","Fall","MINE","2534","Mine Surveying and Mapping","Monsalve Valencia","3.48","38.5","7.7","15.4","38.5","0","0","0","0","0","0","0","0","0","13","88515","  3"
"2020-21","Fall","MINE","2534","Mine Surveying and Mapping","Monsalve Valencia","3.31","31.8","18.2","18.2","9.1","0","13.6","9.1","0","0","0","0","0","0","22","88212","  3"
"2019-20","Fall","MINE","2534","Mine Surveying and Mapping","Amini","3.13","30.4","8.7","13","26.1","4.3","0","4.3","8.7","0","0","4.3","0","0","23","87381","  3"
