Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
2021-22,Fall,MSE,3054,Mech Behavior of Materials,Aidi,3.23,33.3,16.7,0,16.7,16.7,0,16.7,0,0,0,0,0,1,6,88677,3
2022-23,Fall,MSE,3054,Mech Behavior of Materials,Aidi,2.57,33.3,33.3,0,0,0,0,0,0,0,0,0,33.3,0,6,88075,3
2018-19,Fall,MSE,3054,Mech Behavior of Materials,Aidi,2.66,28.6,0,0,28.6,0,28.6,0,0,0,0,0,14.3,0,7,86615,3
2019-20,Fall,MSE,3054,Mech Behavior of Materials,Aidi,3.13,50,0,0,25,0,0,0,12.5,12.5,0,0,0,0,8,87544,3
2020-21,Fall,MSE,3054,Mech Behavior of Materials,Aidi,2.76,14.3,7.1,14.3,21.4,14.3,7.1,7.1,7.1,0,0,0,7.1,0,14,88375,3
2022-23,Spring,MSE,3054,Mech Behavior of Materials,Dowling,3.16,40.5,8.1,0,27,5.4,5.4,5.4,0,0,2.7,2.7,2.7,1,37,18151,3
2019-20,Spring,MSE,3054,Mech Behavior of Materials,Yu,3.41,40.4,14.9,17,6.4,12.8,4.3,2.1,0,0,0,0,2.1,0,47,17487,3
2021-22,Spring,MSE,3054,Mech Behavior of Materials,Yu,2.72,16.4,9.1,14.5,12.7,10.9,5.5,12.7,1.8,0,16.4,0,0,0,55,17904,3
2020-21,Spring,MSE,3054,Mech Behavior of Materials,Dowling,3.47,50,10,10,16.7,0,0,13.3,0,0,0,0,0,1,60,18107,3
2018-19,Spring,MSE,3054,Mech Bahavior of Materials,Yu,3.12,22.8,19.3,8.8,21.1,10.5,1.8,7,1.8,1.8,5.3,0,0,2,57,16761,3
