"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2020-21","Fall","MSE","3064","Mech Behavior Matls Lab","Galitz","3.28","66.7","16.7","0","0","0","0","0","0","0","0","0","16.7","0","6","88378","  1"
"2020-21","Spring","MSE","3064","Mech Behavior Matls Lab","Aning","2.72","33.3","16.7","0","0","0","0","16.7","0","33.3","0","0","0","0","6","18113","  1"
"2022-23","Fall","MSE","3064","Mech Behavior Matls Lab","Galitz","3.05","0","33.3","33.3","0","0","16.7","16.7","0","0","0","0","0","0","6","88076","  1"
"2019-20","Spring","MSE","3064","Mech Behavior Matls Lab","Aidi","3.51","28.6","14.3","42.9","14.3","0","0","0","0","0","0","0","0","0","7","17493","  1"
"2021-22","Spring","MSE","3064","Mech Behavior Matls Lab","Aning","3.71","85.7","0","0","0","0","0","14.3","0","0","0","0","0","2","7","17906","  1"
"2022-23","Spring","MSE","3064","Mech Behavior Matls Lab","Galitz","3.61","57.1","14.3","14.3","0","0","14.3","0","0","0","0","0","0","0","7","18153","  1"
"2019-20","Spring","MSE","3064","Mech Behavior Matls Lab","Galitz","3.38","62.5","12.5","12.5","0","0","0","0","0","0","0","0","12.5","0","8","17494","  1"
"2021-22","Spring","MSE","3064","Mech Behavior Matls Lab","Aidi","3.08","25","0","25","12.5","12.5","12.5","12.5","0","0","0","0","0","0","8","17908","  1"
"2020-21","Spring","MSE","3064","Mech Behavior Matls Lab","Aidi","3.89","77.8","11.1","11.1","0","0","0","0","0","0","0","0","0","0","9","18112","  1"
"2018-19","Spring","MSE","3064","Mech Behavior Matls Lab","Aidi","2.7","40","0","0","30","0","0","10","0","0","0","0","20","0","10","16765","  1"
"2019-20","Spring","MSE","3064","Mech Behavior Matls Lab","Yu","3.44","40","20","10","10","10","0","10","0","0","0","0","0","0","10","17491","  1"
"2020-21","Spring","MSE","3064","Mech Behavior Matls Lab","Aning","2.84","20","20","0","20","0","0","30","0","0","10","0","0","1","10","18108","  1"
"2018-19","Spring","MSE","3064","Mech Behavior Matls Lab","Aidi","3.85","81.8","0","9.1","9.1","0","0","0","0","0","0","0","0","0","11","16763","  1"
"2019-20","Spring","MSE","3064","Mech Behavior Matls Lab","Aning","3.97","90.9","9.1","0","0","0","0","0","0","0","0","0","0","0","11","17489","  1"
"2021-22","Spring","MSE","3064","Mech Behavior Matls Lab","Aning","3.73","72.7","0","0","27.3","0","0","0","0","0","0","0","0","1","11","17907","  1"
"2018-19","Spring","MSE","3064","Mech Behavior Matls Lab","Galitz","3.75","66.7","8.3","16.7","0","8.3","0","0","0","0","0","0","0","0","12","16762","  1"
"2020-21","Spring","MSE","3064","Mech Behavior Matls Lab","Galitz","2.98","38.5","23.1","15.4","0","0","0","0","0","0","7.7","0","15.4","0","13","18110","  1"
"2021-22","Spring","MSE","3064","Mech Behavior Matls Lab","Galitz","2.59","38.5","0","0","7.7","0","7.7","15.4","15.4","0","7.7","0","7.7","0","13","17911","  1"
"2018-19","Spring","MSE","3064","Mech Behavior Matls Lab","Davison","3.86","78.6","7.1","7.1","7.1","0","0","0","0","0","0","0","0","0","14","16767","  1"
"2019-20","Spring","MSE","3064","Mech Behavior Matls Lab","Aidi","3.93","85.7","7.1","7.1","0","0","0","0","0","0","0","0","0","0","14","17492","  1"
"2020-21","Spring","MSE","3064","Mech Behavior Matls Lab","Aidi","3.93","93.3","0","0","6.7","0","0","0","0","0","0","0","0","0","15","18109","  1"
"2022-23","Spring","MSE","3064","Mech Behavior Matls Lab","Aning","3.2","53.3","0","0","26.7","0","0","13.3","0","0","0","0","6.7","0","15","18156","  1"
"2022-23","Spring","MSE","3064","Mech Behavior Matls Lab","Aidi","3.45","80","6.7","0","0","0","0","0","0","0","0","0","13.3","0","15","18157","  1"
