"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2019-20","Spring","BIOL","4164","Environmental Microbiology","Badgley","3.66","57.1","0","28.6","14.3","0","0","0","0","0","0","0","0","0","7","11575","  3"
"2021-22","Spring","BIOL","4164","Environmental Microbiology","Badgley","2.86","42.9","0","0","28.6","0","0","14.3","0","0","0","0","14.3","0","7","11697","  3"
"2020-21","Spring","BIOL","4164","Environmental Microbiology","Badgley","3.63","75","0","0","12.5","0","0","12.5","0","0","0","0","0","0","8","11707","  3"
"2022-23","Spring","BIOL","4164","Environmental Microbiology","Badgley","3.29","44.4","0","22.2","22.2","0","0","0","0","0","11.1","0","0","0","9","11788","  3"
"2019-20","Spring","BIOL","4164","Environmental Microbiology","Badgley","3.73","70","0","10","20","0","0","0","0","0","0","0","0","0","10","11576","  3"
"2020-21","Spring","BIOL","4164","Environmental Microbiology","Badgley","3.3","50","0","0","30","0","0","20","0","0","0","0","0","0","10","11708","  3"
"2022-23","Spring","BIOL","4164","Environmental Microbiology","Badgley","3.26","36.4","0","9.1","36.4","0","18.2","0","0","0","0","0","0","0","11","11787","  3"
"2018-19","Spring","BIOL","4164","Environmental Microbiology","Badgley","2.58","16.7","0","0","50","0","0","16.7","0","0","8.3","0","8.3","0","12","11426","  3"
"2018-19","Spring","BIOL","4164","Environmental Microbiology","Badgley","2.85","23.1","0","0","53.8","0","0","15.4","0","0","0","0","7.7","0","13","11427","  3"
"2021-22","Spring","BIOL","4164","Environmental Microbiology","Badgley","3.54","61.5","0","0","30.8","0","0","7.7","0","0","0","0","0","0","13","11696","  3"
