"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2019-20","Fall","BIOL","1105","Principles of Biology","Emori","2.95","25.6","0","0","46.3","0","0","25.6","0","0","2.5","0","0","5","121","81321","  3"
"2018-19","Fall","BIOL","1105","Principles of Biology","Emori","2.8","21.1","0","0","44.7","0","0","26.8","0","0","7.3","0","0","4","123","81257","  3"
"2019-20","Fall","BIOL","1105","Principles of Biology","Walker","2.78","16.1","0","0","53.3","0","0","24.1","0","0","5.8","0","0.7","5","137","91049","  3"
"2022-23","Fall","BIOL","1105","Principles of Biology","Watkinson","2.18","7.2","0","0","30.3","0","0","41.4","0","0","15.8","0","5.3","11","152","81601","  3"
"2021-22","Fall","BIOL","1105","Principles of Biology","Watkinson","2.35","14","0","0","28.5","0","0","40.8","0","0","12.3","0","4.5","10","179","81520","  3"
"2021-22","Fall","BIOL","1105","Principles of Biology","Emori","2.31","10.8","0","0","32.8","0","0","37.1","0","0","15.1","0","4.3","17","186","81519","  3"
"2022-23","Fall","BIOL","1105","Principles of Biology","Emori","2.59","25.1","0","0","33.2","0","0","24.1","0","0","10.7","0","7","12","187","81600","  3"
"2018-19","Fall","BIOL","1105","Principles of Biology","Hogan","2.56","16.4","0.5","0","36","2.1","0","33.9","0","0","7.4","0","3.7","7","189","81255","  3"
"2019-20","Fall","BIOL","1105","Principles of Biology","Fredericksen","2.78","19.7","0","0","47.7","0","0","26.4","0","0","3.6","0","2.6","6","193","81324","  3"
"2021-22","Fall","BIOL","1105","Principles of Biology","Lipscomb","2.46","16.5","0","0","37.1","0","0","29.4","0","0","9.8","0","7.2","18","194","81514","  3"
"2018-19","Fall","BIOL","1105","Principles of Biology","Lipscomb","2.47","13.2","0","0","38.6","0","0","33.5","0","0","11.2","0","3.6","11","197","90908","  3"
"2018-19","Fall","BIOL","1105","Principles of Biology","Watkinson","2.42","10.3","0","0","35","0","0","41.9","0","0","12.3","0","0.5","15","203","81254","  3"
"2020-21","Fall","BIOL","1105","Principles of Biology","Rosenzweig","2.96","31.4","0","0","39.2","0","0","25","0","0","2.9","0","1.5","0","204","81481","  3"
"2022-23","Fall","BIOL","1105","Principles of Biology","Lipscomb","2.24","14.2","0","0","26","0","0","34.8","0","0","19.1","0","5.9","12","204","81603","  3"
"2018-19","Fall","BIOL","1105","Principles of Biology","Muchlinski","2.78","20.4","0","0","44.2","0","0","28.6","0","0","6.3","0","0.5","3","206","81260","  3"
"2021-22","Fall","BIOL","1105","Principles of Biology","Hogan","2.38","14.5","1","0","31.9","1.4","0","29.5","0","0","17.9","0","3.9","19","207","81517","  3"
"2019-20","Fall","BIOL","1105","Principles of Biology","Hogan","2.8","21.5","1.4","0","41.6","1.4","0","26.8","0","0","5.7","0","1.4","6","209","81323","  3"
"2020-21","Fall","BIOL","1105","Principles of Biology","Lipscomb","2.98","29.2","0","0","42.6","0","0","24.9","0","0","3.3","0","0","0","209","81478","  3"
"2021-22","Fall","BIOL","1105","Principles of Biology","Watkinson","2.06","6.7","0","0","30","0","0","33.3","0","0","22.4","0","7.6","15","210","81515","  3"
"2022-23","Fall","BIOL","1105","Principles of Biology","Lipscomb","2.19","12.3","0","0","27.5","0","0","34.1","0","0","19.4","0","6.6","11","211","81604","  3"
"2018-19","Fall","BIOL","1105","Principles of Biology","Rosenzweig","2.76","22.2","0","0","41.7","0","0","27.3","0","0","7.9","0","0.9","5","216","81256","  3"
"2021-22","Fall","BIOL","1105","Principles of Biology","Emori","2.5","18.8","0","0","33","0","0","30.7","0","0","13.8","0","3.7","18","218","81516","  3"
"2018-19","Fall","BIOL","1105","Principles of Biology","Watkinson","2.48","11.4","0","0","39.3","0","0","36.5","0","0","11.9","0","0.9","3","219","81258","  3"
