"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2022-23","Fall","CHEM","1055","General Chemistry for Majors","Merola","2.79","27.3","9.1","0","18.2","0","0","36.4","0","0","9.1","0","0","0","11","82762","  4"
"2021-22","Fall","CHEM","1055","General Chemistry for Majors","Crawford","2.58","8.3","0","25","25","0","16.7","0","16.7","0","0","0","8.3","1","12","92664","  4"
"2018-19","Fall","CHEM","1055","General Chemistry for Majors","Troya","2.29","0","0","7.7","0","38.5","7.7","38.5","0","0","0","7.7","0","5","13","82262","  4"
"2021-22","Fall","CHEM","1055","General Chemistry for Majors","Crawford","2.45","14.3","7.1","21.4","7.1","7.1","14.3","0","0","0","7.1","14.3","7.1","6","14","82621","  4"
"2018-19","Fall","CHEM","1055","General Chemistry for Majors","Troya","2.67","13.3","13.3","0","26.7","0","13.3","26.7","0","0","0","0","6.7","7","15","82261","  4"
"2022-23","Fall","CHEM","1055","General Chemistry for Majors","Merola","2.92","37.5","6.3","0","25","0","0","12.5","0","0","18.8","0","0","0","16","82761","  4"
"2018-19","Fall","CHEM","1055","General Chemistry for Majors","Troya","3.25","20","15","15","30","10","10","0","0","0","0","0","0","0","20","82263","  4"
"2021-22","Fall","CHEM","1055","General Chemistry for Majors","Crawford","3.11","38.1","9.5","14.3","0","4.8","14.3","9.5","4.8","0","0","4.8","0","2","21","82620","  4"
"2019-20","Fall","CHEM","1055","General Chemistry for Majors","Crawford","2.44","13.6","4.5","4.5","13.6","9.1","9.1","22.7","9.1","4.5","4.5","0","4.5","4","22","82349","  4"
"2021-22","Fall","CHEM","1055","General Chemistry for Majors","Crawford","2.68","24","4","4","16","8","12","16","4","4","0","4","4","2","25","82622","  4"
"2020-21","Fall","CHEM","1055","General Chemistry for Majors","Crawford","3.35","34.6","0","26.9","23.1","11.5","0","3.8","0","0","0","0","0","0","26","82555","  4"
"2020-21","Fall","CHEM","1055","General Chemistry for Majors","Crawford","3.47","35.7","17.9","14.3","21.4","7.1","0","3.6","0","0","0","0","0","0","28","82554","  4"
"2019-20","Fall","CHEM","1055","General Chemistry for Majors","Crawford","2.71","27.6","3.4","13.8","13.8","3.4","3.4","10.3","3.4","10.3","3.4","0","6.9","0","29","82348","  4"
"2019-20","Fall","CHEM","1055","General Chemistry for Majors","Crawford","2.81","33.3","9.1","6.1","9.1","3","0","15.2","3","6.1","15.2","0","0","3","33","82350","  4"
"2020-21","Fall","CHEM","1055","General Chemistry for Majors","Crawford","3.29","41.2","11.8","11.8","14.7","8.8","0","2.9","2.9","0","2.9","0","2.9","0","34","82556","  4"
"2022-23","Fall","CHEM","1055","General Chemistry for Majors","Merola","3.18","58.8","0","0","20.6","0","0","8.8","0","0","2.9","0","8.8","0","34","82764","  4"
