"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2022-23","Spring","ENGE","1216","Foundations of Engineering","Van Tyne","3.51","55.2","10.3","10.3","13.8","3.4","0","3.4","0","0","0","0","3.4","0","29","14824","  2"
"2018-19","Fall","ENGE","1216","Foundations of Engineering","Van Tyne","3.13","25.8","16.1","16.1","16.1","6.5","3.2","6.5","3.2","0","3.2","3.2","0","1","31","83863","  2"
"2018-19","Fall","ENGE","1216","Foundations of Engineering","Butler","3.36","31.3","18.8","15.6","12.5","12.5","3.1","3.1","3.1","0","0","0","0","1","32","89626","  2"
"2018-19","Fall","ENGE","1216","Foundations of Engineering","Butler","3.18","25","25","9.4","15.6","9.4","6.3","0","3.1","0","3.1","0","3.1","0","32","89637","  2"
"2018-19","Fall","ENGE","1216","Foundations of Engineering","Van Tyne","3.17","27.3","18.2","15.2","15.2","0","6.1","12.1","3","0","0","3","0","0","33","83860","  2"
"2020-21","Spring","ENGE","1216","Foundations of Engineering","Ortega Alvarez","3.41","45.5","12.1","18.2","9.1","3","6.1","0","3","0","0","0","3","0","33","14601","  2"
"2018-19","Fall","ENGE","1216","Foundations of Engineering","Van Tyne","2.85","14.7","23.5","2.9","8.8","17.6","11.8","11.8","2.9","0","0","0","5.9","0","34","83858","  2"
"2018-19","Fall","ENGE","1216","Foundations of Engineering","Van Tyne","3.44","26.5","26.5","23.5","11.8","5.9","0","2.9","2.9","0","0","0","0","0","34","83859","  2"
"2018-19","Fall","ENGE","1216","Foundations of Engineering","Butler","3.58","47.1","29.4","8.8","8.8","0","0","0","2.9","0","0","0","2.9","0","34","89624","  2"
"2022-23","Fall","ENGE","1216","Foundations of Engineering","Van Tyne","3.35","43.5","23.9","4.3","4.3","4.3","6.5","6.5","2.2","0","2.2","0","2.2","0","46","84639","  2"
"2019-20","Spring","ENGE","1216","Foundations of Engineering","Van Tyne","3.75","68","18","4","4","4","0","0","0","0","0","0","2","0","50","14294","  2"
"2022-23","Fall","ENGE","1216","Foundations of Engineering","Huerta","3.35","47.1","11.8","7.8","9.8","9.8","3.9","2","3.9","0","2","0","2","0","51","84637","  2"
"2022-23","Fall","ENGE","1216","Foundations of Engineering","Huerta","3.56","47.1","19.6","9.8","9.8","7.8","2","3.9","0","0","0","0","0","1","51","84638","  2"
"2022-23","Fall","ENGE","1216","Foundations of Engineering","Van Tyne","3.11","37.3","11.8","13.7","3.9","3.9","0","19.6","5.9","0","2","0","2","0","51","84640","  2"
"2020-21","Fall","ENGE","1216","Foundations of Engineering","Butler","3.37","38.5","23.1","15.4","7.7","1.9","1.9","3.8","3.8","0","0","0","3.8","0","52","84294","  2"
"2019-20","Fall","ENGE","1216","Foundations of Engineering","Lee","3.43","49.1","13.2","15.1","5.7","1.9","0","7.5","3.8","1.9","1.9","0","0","0","53","84010","  2"
"2021-22","Spring","ENGE","1216","Foundations of Engineering","Lee","3.37","49.1","18.9","3.8","5.7","7.5","0","3.8","3.8","0","7.5","0","0","0","53","14691","  2"
"2019-20","Spring","ENGE","1216","Foundations of Engineering","Twyman","3.73","67.3","14.5","10.9","3.6","0","0","0","0","0","3.6","0","0","0","55","20291","  2"
"2020-21","Fall","ENGE","1216","Foundations of Engineering","Lee","3.53","50.8","20.3","8.5","5.1","1.7","3.4","6.8","1.7","1.7","0","0","0","0","59","84292","  2"
"2019-20","Spring","ENGE","1216","Foundations of Engineering","Van Tyne","3.79","66.7","18.3","8.3","0","3.3","3.3","0","0","0","0","0","0","0","60","14296","  2"
"2019-20","Spring","ENGE","1216","Foundations of Engineering","Mohammadi","3.77","68.9","19.7","3.3","3.3","1.6","0","1.6","0","0","0","0","1.6","0","61","20287","  2"
"2020-21","Spring","ENGE","1216","Foundations of Engineering","Bairaktarova","3.75","68.9","14.8","6.6","1.6","4.9","0","0","3.3","0","0","0","0","0","61","14602","  2"
"2019-20","Spring","ENGE","1216","Foundations of Engineering","Reid","3.78","72.6","19.4","0","1.6","3.2","0","0","1.6","0","0","0","1.6","0","62","20290","  2"
"2020-21","Fall","ENGE","1216","Foundations of Engineering","Lee","3.44","40.3","21","9.7","17.7","1.6","3.2","3.2","0","0","1.6","0","1.6","0","62","84291","  2"
"2020-21","Spring","ENGE","1216","Foundations of Engineering","Ortega Alvarez","3.44","48.4","12.9","17.7","3.2","8.1","0","4.8","1.6","0","0","0","3.2","1","62","14597","  2"
"2019-20","Spring","ENGE","1216","Foundations of Engineering","Mohammadi","3.81","68.3","20.6","3.2","4.8","1.6","0","0","1.6","0","0","0","0","0","63","14308","  2"
"2020-21","Fall","ENGE","1216","Foundations of Engineering","Butler","3.33","34.4","26.6","10.9","6.3","6.3","4.7","3.1","3.1","0","3.1","0","1.6","0","64","84293","  2"
"2019-20","Spring","ENGE","1216","Foundations of Engineering","James","3.81","67.7","24.6","3.1","3.1","0","0","0","0","0","0","0","1.5","0","65","14306","  2"
"2019-20","Spring","ENGE","1216","Foundations of Engineering","Benning","3.82","63.1","23.1","7.7","6.2","0","0","0","0","0","0","0","0","0","65","14315","  2"
"2019-20","Spring","ENGE","1216","Foundations of Engineering","Twyman","3.86","66.2","27.7","3.1","1.5","1.5","0","0","0","0","0","0","0","0","65","20288","  2"
"2020-21","Spring","ENGE","1216","Foundations of Engineering","Benning","3.68","58.5","23.1","9.2","0","3.1","1.5","0","1.5","3.1","0","0","0","0","65","14599","  2"
"2021-22","Spring","ENGE","1216","Foundations of Engineering","Van Tyne","3.02","15.4","21.5","9.2","21.5","10.8","6.2","6.2","6.2","0","0","0","3.1","0","65","14675","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Van Tyne","3.53","50","15.2","18.2","4.5","4.5","0","3","3","0","0","0","1.5","0","66","13966","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Chambers","3.39","37.9","25.8","7.6","6.1","13.6","4.5","0","0","0","1.5","0","3","1","66","13968","  2"
"2019-20","Spring","ENGE","1216","Foundations of Engineering","Chambers","3.86","69.7","21.2","4.5","4.5","0","0","0","0","0","0","0","0","0","66","14299","  2"
"2019-20","Spring","ENGE","1216","Foundations of Engineering","James","3.88","83.3","10.6","4.5","0","0","0","0","0","0","0","0","1.5","0","66","14304","  2"
"2019-20","Spring","ENGE","1216","Foundations of Engineering","Benning","3.62","39.4","28.8","19.7","4.5","4.5","3","0","0","0","0","0","0","0","66","14318","  2"
"2020-21","Spring","ENGE","1216","Foundations of Engineering","Van Tyne","3.65","57.6","12.1","10.6","13.6","1.5","3","1.5","0","0","0","0","0","1","66","14573","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Van Tyne","3.37","40.3","17.9","16.4","9","4.5","1.5","3","1.5","0","4.5","0","1.5","1","67","13971","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Goldsmith","3.59","41.8","26.9","13.4","7.5","7.5","1.5","0","1.5","0","0","0","0","0","67","13973","  2"
"2019-20","Fall","ENGE","1216","Foundations of Engineering","Butler","3.31","29.9","11.9","17.9","16.4","13.4","7.5","1.5","1.5","0","0","0","0","1","67","84012","  2"
"2019-20","Spring","ENGE","1216","Foundations of Engineering","Van Tyne","3.68","59.7","22.4","6","6","1.5","0","0","3","0","0","0","1.5","0","67","14298","  2"
"2019-20","Spring","ENGE","1216","Foundations of Engineering","Mohammadi","3.83","68.7","19.4","7.5","3","0","1.5","0","0","0","0","0","0","0","67","14311","  2"
"2020-21","Spring","ENGE","1216","Foundations of Engineering","Van Tyne","3.71","56.7","23.9","6","6","6","0","0","1.5","0","0","0","0","2","67","14569","  2"
"2020-21","Spring","ENGE","1216","Foundations of Engineering","Mohammadi","3.75","77.6","7.5","6","1.5","0","3","1.5","1.5","0","0","0","1.5","0","67","14575","  2"
"2020-21","Spring","ENGE","1216","Foundations of Engineering","Lo","3.54","56.7","11.9","9","9","3","3","4.5","1.5","0","0","0","1.5","3","67","14592","  2"
"2021-22","Fall","ENGE","1216","Foundations of Engineering","Ortega Alvarez","3.3","32.8","25.4","14.9","6","10.4","1.5","0","1.5","0","3","0","4.5","1","67","84414","  2"
"2021-22","Spring","ENGE","1216","Foundations of Engineering","Twyman","3.25","25.4","23.9","10.4","19.4","6","1.5","7.5","3","0","3","0","0","0","67","14688","  2"
"2021-22","Spring","ENGE","1216","Foundations of Engineering","Lo","3.39","44.8","20.9","3","14.9","1.5","3","7.5","1.5","0","0","0","3","0","67","14689","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Butler","3.62","51.5","19.1","13.2","8.8","4.4","1.5","0","0","0","0","0","1.5","2","68","13952","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Gray","3.78","70.6","14.7","5.9","4.4","0","2.9","0","0","0","1.5","0","0","0","68","13964","  2"
"2019-20","Spring","ENGE","1216","Foundations of Engineering","Chambers","3.76","60.3","27.9","2.9","2.9","1.5","1.5","2.9","0","0","0","0","0","0","68","14303","  2"
"2019-20","Spring","ENGE","1216","Foundations of Engineering","Mohammadi","3.91","80.9","13.2","1.5","4.4","0","0","0","0","0","0","0","0","0","68","20284","  2"
"2019-20","Spring","ENGE","1216","Foundations of Engineering","Benning","3.73","54.4","22.1","19.1","1.5","0","0","2.9","0","0","0","0","0","0","68","20285","  2"
"2020-21","Spring","ENGE","1216","Foundations of Engineering","James","3.63","64.7","10.3","10.3","2.9","2.9","2.9","1.5","1.5","0","2.9","0","0","2","68","14568","  2"
"2020-21","Spring","ENGE","1216","Foundations of Engineering","Ortega Alvarez","3.51","42.6","19.1","20.6","4.4","1.5","4.4","5.9","1.5","0","0","0","0","1","68","14580","  2"
"2022-23","Spring","ENGE","1216","Foundations of Engineering","Clarke Douglas","3.06","32.4","20.6","10.3","8.8","2.9","5.9","4.4","0","4.4","1.5","2.9","5.9","1","68","14837","  2"
"2022-23","Spring","ENGE","1216","Foundations of Engineering","Soledad","3.68","61.8","16.2","7.4","7.4","2.9","2.9","0","0","0","0","0","1.5","3","68","14838","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Gray","3.78","81.2","7.2","2.9","2.9","1.4","1.4","0","0","0","1.4","0","1.4","0","69","13948","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Van Tyne","3.63","58","20.3","7.2","5.8","4.3","1.4","0","0","0","0","0","2.9","1","69","13951","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Goldsmith","3.71","65.2","13","11.6","4.3","2.9","0","0","1.4","0","0","0","1.4","0","69","13958","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","James","3.75","62.3","17.4","8.7","8.7","0","1.4","1.4","0","0","0","0","0","0","69","13972","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Chambers","3.56","52.2","15.9","5.8","10.1","7.2","7.2","1.4","0","0","0","0","0","0","69","13974","  2"
"2019-20","Fall","ENGE","1216","Foundations of Engineering","Butler","3.28","29","24.6","11.6","11.6","4.3","7.2","7.2","2.9","0","0","0","1.4","2","69","84008","  2"
"2019-20","Spring","ENGE","1216","Foundations of Engineering","Benning","3.59","52.2","20.3","10.1","10.1","1.4","0","1.4","1.4","1.4","0","0","1.4","0","69","14312","  2"
"2019-20","Spring","ENGE","1216","Foundations of Engineering","Bairaktarova","3.8","81.2","8.7","4.3","0","1.4","0","1.4","1.4","0","0","0","1.4","0","69","14314","  2"
"2019-20","Spring","ENGE","1216","Foundations of Engineering","Mohammadi","3.9","85.5","5.8","4.3","2.9","0","1.4","0","0","0","0","0","0","0","69","14317","  2"
"2020-21","Spring","ENGE","1216","Foundations of Engineering","Van Tyne","3.76","65.2","15.9","10.1","5.8","1.4","0","0","0","0","1.4","0","0","0","69","14574","  2"
"2020-21","Spring","ENGE","1216","Foundations of Engineering","Ortega Alvarez","3.71","53.6","26.1","8.7","5.8","1.4","2.9","1.4","0","0","0","0","0","0","69","14594","  2"
"2020-21","Spring","ENGE","1216","Foundations of Engineering","Gray","3.7","56.5","24.6","7.2","4.3","1.4","4.3","0","0","0","1.4","0","0","1","69","14600","  2"
"2021-22","Spring","ENGE","1216","Foundations of Engineering","Van Tyne","3.17","21.7","29","15.9","11.6","4.3","4.3","2.9","2.9","0","2.9","0","4.3","0","69","14679","  2"
"2022-23","Spring","ENGE","1216","Foundations of Engineering","Wallwey","3.37","50.7","13","8.7","4.3","5.8","4.3","5.8","2.9","0","1.4","0","2.9","1","69","14836","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Butler","3.55","42.9","18.6","14.3","12.9","8.6","0","2.9","0","0","0","0","0","0","70","13947","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Butler","3.74","55.7","27.1","7.1","4.3","2.9","1.4","1.4","0","0","0","0","0","0","70","13949","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Gray","3.83","75.7","15.7","5.7","0","0","0","0","0","0","2.9","0","0","0","70","13950","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","London","3.68","68.6","5.7","7.1","5.7","7.1","4.3","1.4","0","0","0","0","0","0","70","13953","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Gray","3.85","80","7.1","5.7","4.3","1.4","1.4","0","0","0","0","0","0","0","70","13955","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Van Tyne","3.7","68.6","11.4","2.9","10","2.9","0","1.4","1.4","0","1.4","0","0","0","70","13956","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Pitterson","3.76","61.4","20","12.9","0","2.9","2.9","0","0","0","0","0","0","0","70","13957","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Chambers","3.67","58.6","22.9","8.6","1.4","2.9","1.4","0","2.9","0","0","0","1.4","0","70","13959","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Gray","3.85","78.6","10","4.3","2.9","2.9","0","1.4","0","0","0","0","0","0","70","13961","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Goldsmith","3.52","45.7","21.4","12.9","5.7","7.1","1.4","2.9","1.4","0","0","0","1.4","0","70","13962","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","James","3.77","61.4","21.4","10","2.9","1.4","1.4","1.4","0","0","0","0","0","0","70","13963","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Chambers","3.5","48.6","17.1","8.6","11.4","5.7","1.4","4.3","0","0","2.9","0","0","0","70","13965","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","James","3.65","37.1","32.9","18.6","10","1.4","0","0","0","0","0","0","0","0","70","13967","  2"
"2018-19","Spring","ENGE","1216","Foundations of Engineering","Goldsmith","3.46","41.4","21.4","14.3","10","5.7","0","0","1.4","0","5.7","0","0","0","70","13969","  2"
