"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2020-21","Fall","ENGL","1106","First-Year Writing","Ruccolo","3.77","71.4","14.3","0","0","14.3","0","0","0","0","0","0","0","0","7","84491","  3"
"2021-22","Fall","ENGL","1106","First-Year Writing","Inthajak","3.96","85.7","14.3","0","0","0","0","0","0","0","0","0","0","0","7","84611","  3"
"2019-20","Spring","ENGL","1106","First-Year Writing","Canter","2.59","37.5","0","0","0","12.5","12.5","12.5","12.5","0","0","0","12.5","0","8","21732","  3"
"2022-23","Spring","ENGL","1106","First-Year Writing","Rabbi","3.1","12.5","50","12.5","0","12.5","0","0","0","0","0","0","12.5","1","8","15032","  3"
"2018-19","Spring","ENGL","1106","First-Year Writing","Bliss","2.81","22.2","11.1","11.1","22.2","0","11.1","11.1","0","0","0","0","11.1","4","9","14120","  3"
"2019-20","Spring","ENGL","1106","First-Year Writing","Neilan","3.16","11.1","33.3","11.1","11.1","11.1","11.1","11.1","0","0","0","0","0","0","9","14489","  3"
"2022-23","Spring","ENGL","1106","First-Year Writing","Weaver","3.86","66.7","22.2","11.1","0","0","0","0","0","0","0","0","0","0","9","14944","  3"
"2018-19","Spring","ENGL","1106","First-Year Writing","Baker","3.97","90.9","9.1","0","0","0","0","0","0","0","0","0","0","0","11","14113","  3"
"2018-19","Spring","ENGL","1106","First-Year Writing","Baker","3.78","72.7","0","18.2","9.1","0","0","0","0","0","0","0","0","0","11","14152","  3"
"2018-19","Spring","ENGL","1106","First-Year Writing","Saunders","3.74","63.6","18.2","0","9.1","9.1","0","0","0","0","0","0","0","2","11","14162","  3"
"2018-19","Spring","ENGL","1106","First-Year Writing","Ameli","2.85","0","9.1","18.2","27.3","27.3","9.1","0","9.1","0","0","0","0","1","11","14173","  3"
"2019-20","Spring","ENGL","1106","First-Year Writing","Voros","3.74","63.6","18.2","0","9.1","9.1","0","0","0","0","0","0","0","0","11","14405","  3"
"2019-20","Spring","ENGL","1106","First-Year Writing","Correll","4","100","0","0","0","0","0","0","0","0","0","0","0","0","11","14428","  3"
"2019-20","Spring","ENGL","1106","First-Year Writing","Neilan","3.46","18.2","36.4","27.3","0","18.2","0","0","0","0","0","0","0","0","11","14464","  3"
"2019-20","Spring","ENGL","1106","First-Year Writing","Morse","3.76","63.6","18.2","0","18.2","0","0","0","0","0","0","0","0","0","11","20893","  3"
"2020-21","Spring","ENGL","1106","First-Year Writing","Inthajak","3.91","81.8","9.1","9.1","0","0","0","0","0","0","0","0","0","0","11","14802","  3"
"2020-21","Spring","ENGL","1106","First-Year Writing","Inthajak","3.91","81.8","9.1","9.1","0","0","0","0","0","0","0","0","0","0","11","14814","  3"
"2019-20","Spring","ENGL","1106","First-Year Writing","Moore","3.48","25","41.7","0","25","0","8.3","0","0","0","0","0","0","0","12","14410","  3"
"2019-20","Spring","ENGL","1106","First-Year Writing","Le Corre-Cochran","3.68","50","33.3","0","0","16.7","0","0","0","0","0","0","0","0","12","14412","  3"
