"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2021-22","Spring","MATH","3214","Calculus of Several Variables","Sullivan","2.82","25","0","37.5","0","12.5","0","12.5","0","0","0","0","12.5","2","8","17152","  3"
"2019-20","Spring","MATH","3214","Calculus of Several Variables","Topcu","2.94","8.3","25","25","8.3","0","8.3","8.3","8.3","8.3","0","0","0","0","12","16476","  3"
"2018-19","Spring","MATH","3214","Calculus of Several Variables","Wapperom","1.82","15.4","0","7.7","7.7","7.7","7.7","7.7","7.7","0","0","7.7","30.8","5","13","16052","  3"
"2021-22","Fall","MATH","3214","Calculus of Several Variables","Loehr","1.86","14.3","7.1","7.1","0","0","7.1","14.3","0","14.3","0","21.4","14.3","1","14","93057","  3"
"2022-23","Spring","MATH","3214","Calculus of Several Variables","Topcu","2.28","11.8","0","0","29.4","17.6","5.9","5.9","0","11.8","0","5.9","11.8","2","17","17368","  3"
"2021-22","Spring","MATH","3214","Calculus of Several Variables","Yasuda","2.85","22.2","11.1","5.6","22.2","5.6","11.1","11.1","0","5.6","0","0","5.6","5","18","17150","  3"
"2021-22","Spring","MATH","3214","Calculus of Several Variables","Topcu","2.25","11.1","5.6","11.1","11.1","5.6","0","11.1","16.7","5.6","5.6","16.7","0","0","18","17153","  3"
"2022-23","Spring","MATH","3214","Calculus of Several Variables","Topcu","2.5","11.1","5.6","5.6","27.8","11.1","11.1","0","5.6","11.1","0","5.6","5.6","1","18","17369","  3"
"2019-20","Spring","MATH","3214","Calculus of Several Variables","Palsson","3.56","31.6","47.4","5.3","10.5","0","0","0","0","0","5.3","0","0","0","19","16479","  3"
"2020-21","Fall","MATH","3214","Calculus of Several Variables","Yasuda","2.33","5","15","15","5","10","5","10","10","10","5","0","10","0","20","86657","  3"
"2020-21","Fall","MATH","3214","Calculus of Several Variables","Klaus","2.52","14.3","4.8","9.5","19","14.3","9.5","4.8","4.8","4.8","4.8","0","9.5","2","21","86655","  3"
"2020-21","Spring","MATH","3214","Calculus of Several Variables","Yasuda","2.8","23.8","9.5","14.3","19","9.5","4.8","0","0","0","4.8","4.8","9.5","0","21","17016","  3"
"2018-19","Spring","MATH","3214","Calculus of Several Variables","Wapperom","2.23","27.3","0","0","13.6","18.2","9.1","0","0","0","0","4.5","27.3","1","22","16049","  3"
"2020-21","Fall","MATH","3214","Calculus of Several Variables","Klaus","2.65","21.7","4.3","8.7","17.4","13","4.3","13","0","4.3","4.3","0","8.7","1","23","86656","  3"
"2019-20","Spring","MATH","3214","Calculus of Several Variables","Cook","3.37","40","12","12","12","8","12","4","0","0","0","0","0","0","25","16478","  3"
"2020-21","Spring","MATH","3214","Calculus of Several Variables","Yasuda","2.37","16","16","8","0","8","8","12","12","0","0","4","16","7","25","17015","  3"
"2022-23","Fall","MATH","3214","Calculus of Several Variables","Yasuda","2.72","28","8","4","4","16","12","12","0","8","0","0","8","3","25","87208","  3"
"2018-19","Fall","MATH","3214","Calculus of Several Variables","Childs","2.77","23.1","7.7","11.5","7.7","7.7","11.5","15.4","7.7","0","3.8","0","3.8","5","26","85856","  3"
"2018-19","Spring","MATH","3214","Calculus of Several Variables","Fillman","2.49","15.4","11.5","7.7","11.5","3.8","7.7","11.5","11.5","0","11.5","3.8","3.8","3","26","16050","  3"
"2019-20","Fall","MATH","3214","Calculus of Several Variables","Childs","2.84","30.8","0","3.8","15.4","26.9","7.7","0","3.8","3.8","0","0","7.7","4","26","86161","  3"
"2022-23","Spring","MATH","3214","Calculus of Several Variables","Yasuda","2.86","23.1","15.4","3.8","11.5","3.8","11.5","19.2","3.8","3.8","0","3.8","0","8","26","17367","  3"
"2019-20","Spring","MATH","3214","Calculus of Several Variables","Cook","3.5","37","22.2","22.2","3.7","7.4","3.7","0","3.7","0","0","0","0","0","27","16477","  3"
"2021-22","Fall","MATH","3214","Calculus of Several Variables","Yasuda","2.86","25.9","3.7","7.4","22.2","11.1","3.7","7.4","7.4","3.7","3.7","3.7","0","0","27","86903","  3"
"2021-22","Fall","MATH","3214","Calculus of Several Variables","Loehr","2.87","25.9","14.8","3.7","14.8","7.4","11.1","7.4","0","3.7","3.7","3.7","3.7","0","27","86904","  3"
