"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2018-19","Fall","PHYS","2306","Foundations of Physics","Magill","2.32","0","0","20","20","0","20","0","20","20","0","0","0","0","5","87432","  4"
"2019-20","Fall","PHYS","2306","Foundations of Physics","Kaplan","2.55","0","0","33.3","33.3","16.7","0","0","0","0","0","0","16.7","2","6","88416","  4"
"2018-19","Fall","PHYS","2306","Foundations of Physics","Nelson","3.09","50","12.5","12.5","0","0","0","0","12.5","0","0","0","12.5","1","8","87429","  4"
"2022-23","Fall","PHYS","2306","Foundations of Physics","Nelson","2.41","25","0","0","0","12.5","25","25","0","0","0","0","12.5","0","8","88898","  4"
"2019-20","Fall","PHYS","2306","Foundations of Physics","Nelson","2.52","11.1","0","11.1","22.2","11.1","0","11.1","22.2","11.1","0","0","0","2","9","88385","  4"
"2019-20","Fall","PHYS","2306","Foundations of Physics","Chang","3.01","33.3","22.2","0","0","11.1","11.1","11.1","0","0","0","11.1","0","1","9","88407","  4"
"2022-23","Fall","PHYS","2306","Foundations of Physics","Nelson","2.78","11.1","0","11.1","22.2","33.3","11.1","0","0","11.1","0","0","0","0","9","88894","  4"
"2022-23","Fall","PHYS","2306","Foundations of Physics","Vogelaar","2.37","0","0","0","33.3","11.1","33.3","11.1","0","0","0","11.1","0","0","9","88912","  4"
"2021-22","Fall","PHYS","2306","Foundations of Physics","Lin","2.44","10","0","20","10","30","0","10","0","0","0","10","10","1","10","89583","  4"
"2022-23","Fall","PHYS","2306","Foundations of Physics","Vogelaar","2.54","30","0","0","30","10","0","0","10","0","0","0","20","0","10","88952","  4"
"2019-20","Fall","PHYS","2306","Foundations of Physics","Lin","2.31","18.2","0","9.1","0","18.2","0","18.2","18.2","9.1","0","0","9.1","0","11","88412","  4"
"2019-20","Fall","PHYS","2306","Foundations of Physics","Kaplan","2.05","0","9.1","18.2","9.1","9.1","9.1","0","9.1","18.2","0","0","18.2","0","11","88418","  4"
"2020-21","Spring","PHYS","2306","Foundations of Physics","Vogelaar","3.57","63.6","9.1","9.1","0","0","9.1","9.1","0","0","0","0","0","0","11","18991","  4"
"2019-20","Fall","PHYS","2306","Foundations of Physics","Nelson","2.52","8.3","0","8.3","33.3","8.3","8.3","25","0","0","0","0","8.3","0","12","88364","  4"
"2019-20","Spring","PHYS","2306","Foundations of Physics","Vogelaar","3.5","41.7","16.7","16.7","8.3","8.3","8.3","0","0","0","0","0","0","0","12","18356","  4"
"2021-22","Fall","PHYS","2306","Foundations of Physics","Vogelaar","2.58","8.3","0","8.3","25","16.7","16.7","16.7","0","0","0","8.3","0","2","12","89586","  4"
"2021-22","Spring","PHYS","2306","Foundations of Physics","Vogelaar","2.92","25","8.3","16.7","25","0","0","8.3","8.3","0","0","0","8.3","0","12","18798","  4"
"2018-19","Fall","PHYS","2306","Foundations of Physics","Magill","2.21","0","7.7","0","7.7","15.4","23.1","23.1","7.7","7.7","0","7.7","0","0","13","87410","  4"
"2019-20","Fall","PHYS","2306","Foundations of Physics","Nelson","2.96","0","30.8","0","23.1","23.1","15.4","7.7","0","0","0","0","0","0","13","88375","  4"
