"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2019-20","Spring","STAT","4714","Prob & Stat for EE","Terrell","3.06","14.3","9.5","28.6","19","4.8","9.5","9.5","4.8","0","0","0","0","0","21","19091","  3"
"2019-20","Spring","STAT","4714","Prob & Stat for EE","Terrell","3.16","16","16","40","8","4","8","0","0","0","8","0","0","0","25","19090","  3"
"2022-23","Spring","STAT","4714","Prob & Stat for EE","Terrell","2.55","0","25","10.7","3.6","10.7","17.9","10.7","10.7","3.6","0","3.6","3.6","4","28","19908","  3"
"2021-22","Spring","STAT","4714","Prob & Stat for EE","Terrell","2.4","3","6.1","18.2","18.2","9.1","6.1","9.1","9.1","9.1","3","6.1","3","3","33","19619","  3"
"2022-23","Fall","STAT","4714","Prob & Stat for EE","Terrell","2.74","15.2","6.1","12.1","9.1","15.2","12.1","12.1","18.2","0","0","0","0","3","33","89845","  3"
"2021-22","Spring","STAT","4714","Prob & Stat for EE","Terrell","2.52","11.1","4.8","6.3","6.3","17.5","23.8","14.3","4.8","4.8","4.8","0","1.6","9","63","19618","  3"
"2020-21","Spring","STAT","4714","Prob & Stat for EE","Terrell","3.02","15.4","18.5","16.9","7.7","15.4","7.7","9.2","7.7","1.5","0","0","0","4","65","19813","  3"
"2022-23","Fall","STAT","4714","Prob & Stat for EE","Chen","2.99","31.3","7.5","9","14.9","16.4","3","4.5","6","0","0","1.5","6","1","67","89846","  3"
"2018-19","Spring","STAT","4714","Prob & Stat for EE","Terrell","2.51","8.7","5.8","11.6","13","10.1","14.5","11.6","11.6","7.2","2.9","1.4","1.4","4","69","18285","  3"
"2022-23","Spring","STAT","4714","Prob & Stat for EE","Terrell","2.64","16.9","5.6","12.7","8.5","7","14.1","15.5","11.3","2.8","1.4","2.8","1.4","8","71","19909","  3"
"2021-22","Fall","STAT","4714","Prob & Stat for EE","Terrell","2.62","4.7","5.8","8.1","22.1","17.4","19.8","11.6","4.7","2.3","1.2","1.2","1.2","4","86","90384","  3"
"2021-22","Fall","STAT","4714","Prob & Stat for EE","Terrell","3.04","17.6","13.2","15.4","17.6","12.1","11","4.4","7.7","0","1.1","0","0","2","91","90383","  3"
"2022-23","Fall","STAT","4714","Prob & Stat for EE","Terrell","2.88","18.3","11.8","5.4","14","15.1","12.9","12.9","7.5","2.2","0","0","0","9","93","89844","  3"
"2021-22","Fall","STAT","4714","Prob & Stat for EE","Walsh","2.98","23.7","12.4","12.4","13.4","12.4","8.2","3.1","8.2","1","2.1","0","3.1","0","97","91405","  3"
"2018-19","Spring","STAT","4714","Prob & Stat for EE","Terrell","2.81","9.9","17.8","11.9","14.9","13.9","13.9","5","5.9","0","2","1","4","4","101","18286","  3"
"2020-21","Spring","STAT","4714","Prob & Stat for EE","Terrell","3.12","15.7","14.7","22.5","14.7","18.6","9.8","2","0","0","0","0","2","7","102","19812","  3"
"2018-19","Fall","STAT","4714","Prob & Stat for EE","Terrell","2.86","14","17.8","13.1","11.2","8.4","13.1","10.3","3.7","2.8","1.9","2.8","0.9","3","107","88117","  3"
"2019-20","Fall","STAT","4714","Prob & Stat for EE","Terrell","2.8","8","12.5","12.5","17.9","18.8","12.5","5.4","6.3","1.8","2.7","0.9","0.9","4","112","89107","  3"
"2019-20","Fall","STAT","4714","Prob & Stat for EE","Terrell","2.84","10.3","12","12.8","19.7","17.9","8.5","8.5","4.3","3.4","0","0","2.6","1","117","89106","  3"
"2018-19","Fall","STAT","4714","Prob & Stat for EE","Terrell","3.01","12.1","16.1","21","13.7","15.3","5.6","9.7","2.4","4","0","0","0","3","124","88116","  3"
"2020-21","Fall","STAT","4714","Prob & Stat for EE","Terrell","3.19","32.3","12.6","11.8","17.3","8.7","7.9","2.4","0.8","2.4","1.6","0.8","1.6","0","127","90027","  3"
"2020-21","Fall","STAT","4714","Prob & Stat for EE","Terrell","3.06","15.7","22","17.3","9.4","15","3.9","11","2.4","0","0","0.8","2.4","1","127","90028","  3"
