"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2019-20","Fall","STAT","3704","Stat for Eng Apps","Russell","3.38","48","12","12","12","0","8","0","0","0","8","0","0","3","25","89092","  2"
"2019-20","Spring","STAT","3704","Stat for Eng Apps","Russell","3.36","40","16.7","10","16.7","3.3","6.7","3.3","0","0","0","0","3.3","0","30","19065","  2"
"2018-19","Fall","STAT","3704","Stat for Eng Apps","Slifko","3.61","71","6.5","9.7","0","3.2","0","6.5","0","0","0","0","3.2","1","31","89343","  2"
"2019-20","Spring","STAT","3704","Stat for Eng Apps","Zhang","3.89","87.1","3.2","6.5","0","0","3.2","0","0","0","0","0","0","0","31","19066","  2"
"2018-19","Fall","STAT","3704","Stat for Eng Apps","Russell","3.05","30.8","12.8","10.3","15.4","10.3","5.1","2.6","2.6","0","5.1","0","5.1","0","39","88105","  2"
"2021-22","Spring","STAT","3704","Stat for Eng Apps","Cooper","2.82","28.2","7.7","2.6","10.3","17.9","10.3","5.1","7.7","2.6","2.6","0","5.1","1","39","19593","  2"
"2019-20","Fall","STAT","3704","Stat for Eng Apps","Gao","3.68","82.9","0","4.9","2.4","4.9","0","0","0","0","0","0","4.9","1","41","89089","  2"
"2019-20","Fall","STAT","3704","Stat for Eng Apps","Zhang","3.14","46.3","12.2","4.9","7.3","2.4","4.9","7.3","2.4","4.9","2.4","0","4.9","1","41","89090","  2"
"2021-22","Fall","STAT","3704","Stat for Eng Apps","Min","3.37","47.6","21.4","0","11.9","2.4","4.8","7.1","0","0","0","0","4.8","0","42","90367","  2"
"2018-19","Spring","STAT","3704","Stat for Eng Apps","Russell","3.06","13","28.3","13","15.2","10.9","8.7","2.2","0","0","6.5","0","2.2","2","46","20413","  2"
"2021-22","Spring","STAT","3704","Stat for Eng Apps","Zhang","3.56","61.7","6.4","12.8","4.3","6.4","4.3","0","2.1","0","0","0","2.1","0","47","19594","  2"
"2020-21","Fall","STAT","3704","Stat for Eng Apps","Zhang","3.88","85.4","4.2","6.3","2.1","0","0","0","2.1","0","0","0","0","0","48","90009","  2"
"2020-21","Spring","STAT","3704","Stat for Eng Apps","Russell","3.62","40","32","10","10","6","0","2","0","0","0","0","0","3","50","19790","  2"
"2021-22","Spring","STAT","3704","Stat for Eng Apps","Zhang","2.86","28","12","6","10","10","6","12","2","4","6","0","4","2","50","19595","  2"
"2022-23","Spring","STAT","3704","Stat for Eng Apps","Zhang","3","23.5","15.7","13.7","13.7","3.9","3.9","11.8","5.9","2","5.9","0","0","2","51","19886","  2"
"2018-19","Fall","STAT","3704","Stat for Eng Apps","Zhang","2.98","36.5","3.8","11.5","13.5","1.9","7.7","9.6","3.8","3.8","3.8","1.9","1.9","1","52","88103","  2"
"2022-23","Fall","STAT","3704","Stat for Eng Apps","Russell","3.23","32.7","18.2","16.4","9.1","9.1","3.6","3.6","1.8","0","0","0","5.5","0","55","89826","  2"
"2019-20","Spring","STAT","3704","Stat for Eng Apps","Zhang","3.67","66.1","10.7","8.9","3.6","5.4","3.6","0","0","0","0","0","1.8","0","56","19064","  2"
"2020-21","Spring","STAT","3704","Stat for Eng Apps","Zhang","3.89","87.5","5.4","1.8","1.8","1.8","0","0","1.8","0","0","0","0","0","56","19791","  2"
"2020-21","Spring","STAT","3704","Stat for Eng Apps","Zhang","3.68","71.2","10.2","5.1","1.7","3.4","3.4","3.4","0","0","0","0","1.7","1","59","19789","  2"
"2022-23","Spring","STAT","3704","Stat for Eng Apps","Zhang","3.1","29.5","16.4","6.6","11.5","11.5","9.8","8.2","0","1.6","3.3","0","1.6","0","61","19887","  2"
"2020-21","Fall","STAT","3704","Stat for Eng Apps","Russell","3.48","46.8","12.9","21","4.8","9.7","1.6","0","0","0","0","0","3.2","0","62","90010","  2"
"2018-19","Spring","STAT","3704","Stat for Eng Apps","Zhang","3.54","49.2","19","3.2","14.3","6.3","3.2","3.2","1.6","0","0","0","0","0","63","18264","  2"
"2019-20","Fall","STAT","3704","Stat for Eng Apps","Zhang","3.4","57.1","9.5","3.2","9.5","4.8","3.2","4.8","3.2","0","1.6","0","3.2","1","63","89091","  2"
"2020-21","Fall","STAT","3704","Stat for Eng Apps","Zhang","3.29","44.6","9.2","6.2","18.5","3.1","6.2","6.2","1.5","1.5","1.5","0","1.5","0","65","90011","  2"
"2021-22","Fall","STAT","3704","Stat for Eng Apps","Russell","3.44","30.8","29.2","13.8","7.7","7.7","7.7","1.5","0","1.5","0","0","0","0","65","90368","  2"
"2022-23","Fall","STAT","3704","Stat for Eng Apps","Russell","3.41","25.8","30.3","13.6","16.7","9.1","1.5","1.5","0","0","0","0","1.5","1","66","89824","  2"
"2018-19","Spring","STAT","3704","Stat for Eng Apps","Russell","3.13","32.8","7.5","16.4","11.9","10.4","7.5","6","3","0","1.5","0","3","0","67","18265","  2"
"2022-23","Spring","STAT","3704","Stat for Eng Apps","Russell","3.67","67.6","14.7","1.5","4.4","4.4","1.5","2.9","1.5","0","0","0","1.5","0","68","19888","  2"
