"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2018-19","Spring","AOE","2104","Intro Aerospace Engr & Perform","Patil","3.31","27.3","9.1","18.2","18.2","27.3","0","0","0","0","0","0","0","0","11","20589","  3"
"2019-20","Spring","AOE","2104","Intro Aerospace Engr & Perform","Patil","3.43","27.3","18.2","18.2","27.3","9.1","0","0","0","0","0","0","0","0","11","10353","  3"
"2021-22","Spring","AOE","2104","Intro Aerospace Engr & Perform","Butler","2.79","5","20","15","10","10","15","20","0","0","0","5","0","2","20","10369","  3"
"2020-21","Spring","AOE","2104","Intro Aerospace Engr & Perform","Kuester","2.81","12","12","12","16","16","0","16","12","4","0","0","0","3","25","10375","  3"
"2022-23","Spring","AOE","2104","Intro Aerospace Engr & Perform","Intaratep","2.68","7.1","14.3","7.1","28.6","7.1","10.7","10.7","7.1","0","0","0","7.1","2","28","10387","  3"
"2021-22","Fall","AOE","2104","Intro Aerospace Engr & Perform","Artis","3.22","35.8","9.8","12.7","12.7","8.7","6.9","6.4","4","1.7","0.6","0.6","0","5","173","80397","  3"
"2019-20","Fall","AOE","2104","Intro Aerospace Engr & Perform","Artis","3.49","55.7","7.5","11.5","7.5","6.3","5.2","2.3","1.7","0.6","0.6","0.6","0.6","10","174","80332","  3"
"2018-19","Fall","AOE","2104","Intro Aerospace Engr & Perform","Artis","3.27","35.6","11.1","14.4","15.6","4.4","9.4","3.9","3.3","0.6","1.7","0","0","1","180","80323","  3"
"2022-23","Fall","AOE","2104","Intro Aerospace Engr & Perform","Paterson","2.86","2.2","11.7","13.9","35","19.4","6.1","5","2.8","0.6","1.1","0","2.2","1","180","80402","  3"
"2020-21","Fall","AOE","2104","Intro Aerospace Engr & Perform","Artis","3.31","33.1","15.5","15.1","14.3","9.4","3.7","4.9","1.2","1.2","0.8","0.4","0.4","0","245","80378","  3"
