Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
2018-19,Fall,CS,3744,Intro GUI Programming/Graphics,Luther,3.41,57.9,7.9,7.9,7.9,2.6,2.6,5.3,2.6,0,2.6,0,2.6,3,38,82720,3
2019-20,Fall,CS,3744,Intro GUI Programming/Graphics,Luther,3.34,49,14.3,4.1,12.2,2,2,8.2,2,2,2,0,2,15,49,82832,3
2019-20,Spring,CS,3744,Intro GUI Programming/Graphics,Lee,3.75,57.4,25.9,5.6,3.7,7.4,0,0,0,0,0,0,0,1,54,19683,3
2020-21,Fall,CS,3744,Intro GUI Programming/Graphics,Gusukuma,3.42,38.5,30.8,6.2,3.1,9.2,4.6,4.6,0,0,0,0,3.1,1,65,91155,3
2021-22,Fall,CS,3744,Intro GUI Programming/Graphics,Gusukuma,3.48,50,19.7,10.6,4.5,0,6.1,4.5,0,3,0,0,1.5,2,66,83120,3
2020-21,Spring,CS,3744,Intro GUI Programming/Graphics,Gusukuma,3.35,46.8,15.2,12.7,6.3,2.5,3.8,5.1,0,1.3,2.5,1.3,2.5,6,79,13170,3
2022-23,Fall,CS,3744,Intro GUI Programming/Graphics,Gracanin,3.13,25,21.3,11.3,18.8,7.5,2.5,5,1.3,0,2.5,0,5,13,80,83303,3
2022-23,Spring,CS,3744,Intro GUI Programming/Graphics,Lee,3.37,29.1,23.3,19.8,8.1,8.1,3.5,3.5,4.7,0,0,0,0,2,86,13400,3
2021-22,Spring,CS,3744,Intro GUI Programming/Graphics,Gusukuma,3.36,38.2,24.7,12.4,9,3.4,3.4,0,2.2,0,3.4,0,3.4,4,89,13294,3
2022-23,Spring,CS,3744,Intro GUI Programing/Graphics,Tasooji,3.72,71.6,4.5,9,7.5,4.5,0,1.5,0,1.5,0,0,0,2,67,22083,3
