"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2019-20","Spring","CS","4264","Principles Computer Security","Rahaman","3.85","76.2","14.3","4.8","2.4","0","0","2.4","0","0","0","0","0","0","42","20849","  3"
"2021-22","Fall","CS","4264","Principles Computer Security","Hicks","3.56","61.9","7.1","4.8","19","0","0","4.8","0","0","0","0","2.4","0","42","83129","  3"
"2022-23","Fall","CS","4264","Principles Computer Security","Hicks","3.56","45.1","11.8","11.8","27.5","3.9","0","0","0","0","0","0","0","1","51","83318","  3"
"2020-21","Fall","CS","4264","Principles Computer Security","Yao","3.82","76.2","9.5","1.6","7.9","4.8","0","0","0","0","0","0","0","0","63","83042","  3"
"2019-20","Fall","CS","4264","Principles Computer Security","Hicks","3.55","47","10.6","21.2","13.6","0","6.1","1.5","0","0","0","0","0","2","66","82841","  3"
"2018-19","Spring","CS","4264","Principles Computer Security","Wang","3.6","35.3","29.4","23.5","7.4","1.5","1.5","1.5","0","0","0","0","0","1","68","12825","  3"
"2021-22","Spring","CS","4264","Principles Computer Security","Chung","3.52","58.8","7.4","10.3","5.9","1.5","8.8","5.9","0","1.5","0","0","0","1","68","13300","  3"
"2020-21","Spring","CS","4264","Principles Computer Security","Chung","3.38","44.9","14.5","13","5.8","7.2","1.4","10.1","0","0","1.4","0","1.4","1","69","13176","  3"
"2018-19","Fall","CS","4264","Principles Computer Security","Hicks","3.51","36.8","13.8","25.3","19.5","1.1","2.3","1.1","0","0","0","0","0","1","87","82726","  3"
"2022-23","Spring","CS","4264","Principles Computer Security","Gao","3.7","63.2","11.3","11.3","4.7","5.7","2.8","0.9","0","0","0","0","0","0","106","13408","  3"
