"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2019-20","Fall","CS","2505","Intro Computer Organization","Paul","2.5","12.5","10","0","17.5","2.5","10","27.5","7.5","2.5","7.5","2.5","0","3","40","91675","  3"
"2022-23","Fall","CS","2505","Intro Computer Organization","McPherson","3.38","22","26.8","19.5","22","2.4","0","4.9","2.4","0","0","0","0","4","41","83254","  3"
"2020-21","Fall","CS","2505","Intro Computer Organization","McPherson","2.92","15.1","13.2","5.7","24.5","9.4","7.5","20.8","1.9","1.9","0","0","0","1","53","82993","  3"
"2018-19","Fall","CS","2505","Intro Computer Organization","Jung","2.58","12.3","6.2","10.8","15.4","9.2","10.8","23.1","1.5","4.6","0","0","6.2","10","65","82688","  3"
"2021-22","Spring","CS","2505","Intro Computer Organization","McQuain","2.56","15.1","1.4","4.1","30.1","2.7","4.1","30.1","1.4","1.4","4.1","1.4","4.1","4","73","13225","  3"
"2022-23","Spring","CS","2505","Intro Computer Organization","Senger","2.84","14.9","14.9","9.5","21.6","12.2","2.7","13.5","2.7","1.4","1.4","0","5.4","8","74","13324","  3"
"2019-20","Spring","CS","2505","Intro Computer Organization","Wenskovitch","3.57","48","18.7","13.3","13.3","2.7","1.3","0","0","0","1.3","0","1.3","1","75","12957","  3"
"2019-20","Fall","CS","2505","Intro Computer Organization","Paul","2.69","14.1","8.2","2.4","21.2","5.9","10.6","31.8","2.4","0","1.2","2.4","0","18","85","82792","  3"
"2020-21","Fall","CS","2505","Intro Computer Organization","McQuain","2.92","25.6","5.8","1.2","25.6","5.8","3.5","27.9","4.7","0","0","0","0","1","86","82991","  3"
"2020-21","Fall","CS","2505","Intro Computer Organization","McQuain","3.17","30.3","7.9","12.4","24.7","2.2","5.6","14.6","1.1","0","1.1","0","0","3","89","82992","  3"
"2021-22","Fall","CS","2505","Intro Computer Organization","McPherson","2.41","11","1.1","7.7","15.4","25.3","0","20.9","2.2","2.2","3.3","2.2","8.8","14","91","83077","  3"
"2022-23","Spring","CS","2505","Intro Computer Organization","Senger","2.81","17.6","13","11.1","14.8","14.8","5.6","10.2","0.9","2.8","2.8","0","6.5","10","108","13322","  3"
"2022-23","Fall","CS","2505","Intro Computer Organization","Senger","2.99","18.1","25","21.6","7.8","4.3","6","4.3","0.9","0.9","1.7","1.7","7.8","6","116","83255","  3"
"2019-20","Fall","CS","2505","Intro Computer Organization","McQuain","2.95","26.9","6.7","3.4","21","10.1","4.2","23.5","0.8","0","2.5","0.8","0","21","119","82793","  3"
"2018-19","Spring","CS","2505","Intro Computer Organization","McQuain","2.64","13.9","7.4","3.3","22.1","8.2","4.1","31.1","4.9","0","1.6","0","3.3","16","122","12789","  3"
"2019-20","Spring","CS","2505","Intro Computer Organization","Tausif","3.78","67.2","13.1","6.6","11.5","0.8","0.8","0","0","0","0","0","0","1","122","12956","  3"
"2018-19","Spring","CS","2505","Intro Computer Organization","McQuain","2.69","19.5","4.9","4.1","17.9","9.8","5.7","30.1","1.6","0.8","2.4","0","3.3","5","123","12788","  3"
"2021-22","Fall","CS","2505","Intro Computer Organization","McQuain","2.59","12.8","2.8","7.8","17.7","10.6","7.8","34.8","0","0","2.1","0","3.5","19","141","83076","  3"
"2021-22","Fall","CS","2505","Intro Computer Organization","McPherson","2.88","20.5","6","6.6","19.9","29.8","0","9.9","0.7","0","0.7","0.7","5.3","11","151","83075","  3"
"2021-22","Spring","CS","2505","Intro Computer Organization","McPherson","3.03","25","11.5","14.7","18.6","6.4","8.3","7.7","1.3","1.3","0.6","0","4.5","9","156","20301","  3"
"2020-21","Spring","CS","2505","Intro Computer Organization","McPherson","2.82","15.7","9.4","5.7","24.5","5.7","10.7","23.9","1.9","0","1.3","0","1.3","34","159","13099","  3"
"2018-19","Fall","CS","2505","Intro Computer Organization","McQuain","2.83","19.9","7.8","10.8","16.3","7.8","6","24.1","2.4","0.6","1.8","0.6","1.8","23","166","82689","  3"
"2020-21","Spring","CS","2505","Intro Computer Organization","McQuain","2.74","19.4","6.5","7.1","20","8.2","4.7","22.9","2.4","0.6","4.7","1.2","2.4","24","170","13100","  3"
"2022-23","Fall","CS","2505","Intro Computer Organization","McPherson","3.58","43.8","25.9","14.1","7.6","3.8","2.7","0","0.5","0","0","0.5","1.1","7","185","83256","  3"
"2021-22","Spring","CS","2505","Intro Computer Organization","McPherson","3.28","27.1","23.9","14.4","11.2","8.5","5.3","5.9","1.1","0","1.1","0","1.6","7","188","13224","  3"
"2022-23","Spring","CS","2505","Intro Computer Organization","McPherson","3.03","13.5","15.5","16.6","24.9","12.4","8.3","2.6","1.6","1","0.5","0","3.1","6","193","13323","  3"
