"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2019-20","Spring","CHEM","1045","General Chemistry Laboratory","Long","3.8","60","20","20","0","0","0","0","0","0","0","0","0","0","5","19815","  1"
"2019-20","Spring","CHEM","1045","General Chemistry Laboratory","Long","2.48","20","0","0","20","20","0","0","20","0","20","0","0","0","5","19818","  1"
"2019-20","Spring","CHEM","1045","General Chemistry Laboratory","Long","3.23","28.6","14.3","28.6","0","0","14.3","14.3","0","0","0","0","0","0","7","12395","  1"
"2019-20","Spring","CHEM","1045","General Chemistry Laboratory","Long","3.23","57.1","0","28.6","0","0","0","0","0","0","0","0","14.3","0","7","12414","  1"
"2019-20","Spring","CHEM","1045","General Chemistry Laboratory","Long","3.87","57.1","42.9","0","0","0","0","0","0","0","0","0","0","0","7","12427","  1"
"2019-20","Spring","CHEM","1045","General Chemistry Laboratory","Long","3.71","57.1","14.3","14.3","14.3","0","0","0","0","0","0","0","0","0","7","12444","  1"
"2019-20","Spring","CHEM","1045","General Chemistry Laboratory","Long","3.39","37.5","37.5","0","0","0","12.5","0","12.5","0","0","0","0","0","8","12424","  1"
"2021-22","Fall","CHEM","1045","General Chemistry Laboratory","Long","2.84","33.3","0","22.2","22.2","0","0","0","0","0","11.1","0","11.1","0","9","82573","  1"
"2019-20","Spring","CHEM","1045","General Chemistry Laboratory","Long","3.2","50","0","0","40","0","0","0","0","0","0","0","10","0","10","12423","  1"
"2019-20","Spring","CHEM","1045","General Chemistry Laboratory","Long","3.84","70","20","0","10","0","0","0","0","0","0","0","0","0","10","12425","  1"
"2021-22","Fall","CHEM","1045","General Chemistry Laboratory","Long","3.27","60","0","10","0","0","0","10","20","0","0","0","0","1","10","82612","  1"
"2019-20","Spring","CHEM","1045","General Chemistry Laboratory","Long","3.18","54.5","9.1","9.1","0","0","0","18.2","0","0","0","0","9.1","0","11","12405","  1"
"2019-20","Spring","CHEM","1045","General Chemistry Laboratory","Long","3.25","36.4","9.1","18.2","0","18.2","0","18.2","0","0","0","0","0","0","11","12411","  1"
"2019-20","Spring","CHEM","1045","General Chemistry Laboratory","Long","3.74","63.6","18.2","0","9.1","9.1","0","0","0","0","0","0","0","0","11","12421","  1"
"2019-20","Spring","CHEM","1045","General Chemistry Laboratory","Long","3.76","63.6","18.2","0","18.2","0","0","0","0","0","0","0","0","0","11","19812","  1"
