"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2020-21","Spring","MATH","3134","Applied Combinatorics","Hart","3.33","22.2","33.3","11.1","11.1","0","22.2","0","0","0","0","0","0","0","9","17009","  3"
"2019-20","Spring","MATH","3134","Applied Combinatorics","Hammer","3.36","54.5","0","9.1","9.1","9.1","0","18.2","0","0","0","0","0","0","11","16468","  3"
"2021-22","Spring","MATH","3134","Applied Combinatorics","Shimozono","3.01","36.4","18.2","0","18.2","0","0","0","9.1","0","18.2","0","0","6","11","17143","  3"
"2019-20","Spring","MATH","3134","Applied Combinatorics","Steiner","3.57","50","16.7","0","16.7","16.7","0","0","0","0","0","0","0","0","12","21502","  3"
"2020-21","Fall","MATH","3134","Applied Combinatorics","Shimozono","2.94","16.7","8.3","16.7","33.3","8.3","8.3","0","0","0","0","0","8.3","0","12","86649","  3"
"2022-23","Spring","MATH","3134","Applied Combinatorics","Steiner","2.81","13.3","40","0","6.7","6.7","6.7","13.3","0","0","0","0","13.3","1","15","17354","  3"
"2019-20","Spring","MATH","3134","Applied Combinatorics","Withrow","3.56","42.1","31.6","0","15.8","5.3","0","0","5.3","0","0","0","0","0","19","16469","  3"
"2019-20","Spring","MATH","3134","Applied Combinatorics","Karcher","3.74","52.6","26.3","10.5","10.5","0","0","0","0","0","0","0","0","0","19","16471","  3"
"2022-23","Fall","MATH","3134","Applied Combinatorics","Hammer","2.92","21.1","5.3","10.5","10.5","26.3","10.5","10.5","0","0","5.3","0","0","4","19","87196","  3"
"2020-21","Spring","MATH","3134","Applied Combinatorics","Hart","3.27","20","20","25","25","0","0","5","0","0","5","0","0","1","20","21997","  3"
"2019-20","Spring","MATH","3134","Applied Combinatorics","Steiner","3.22","31.8","22.7","4.5","13.6","13.6","0","9.1","0","0","0","0","4.5","0","22","16470","  3"
"2019-20","Spring","MATH","3134","Applied Combinatorics","Steiner","3.53","47.8","21.7","4.3","13","0","8.7","0","4.3","0","0","0","0","0","23","16467","  3"
"2021-22","Spring","MATH","3134","Applied Combinatorics","Hammer","2.9","17.4","0","26.1","13","21.7","8.7","4.3","4.3","0","0","0","4.3","7","23","17144","  3"
"2019-20","Fall","MATH","3134","Applied Combinatorics","Steiner","2.26","12.5","4.2","4.2","25","4.2","0","8.3","8.3","16.7","8.3","0","8.3","2","24","91428","  3"
"2021-22","Spring","MATH","3134","Applied Combinatorics","Withrow","2.89","37.5","12.5","12.5","0","8.3","4.2","4.2","4.2","0","4.2","0","12.5","2","24","17136","  3"
"2022-23","Spring","MATH","3134","Applied Combinatorics","Nicolas","2.64","16.7","8.3","16.7","8.3","8.3","4.2","20.8","0","4.2","4.2","4.2","4.2","4","24","17355","  3"
"2020-21","Fall","MATH","3134","Applied Combinatorics","Hammer","2.78","16","8","12","24","4","12","12","0","8","0","0","4","1","25","86647","  3"
"2020-21","Fall","MATH","3134","Applied Combinatorics","Hammer","2.96","24","4","12","28","4","8","0","16","4","0","0","0","2","25","86650","  3"
"2021-22","Spring","MATH","3134","Applied Combinatorics","Steiner","2.52","16","8","8","12","12","12","8","4","8","0","4","8","1","25","17147","  3"
"2018-19","Fall","MATH","3134","Applied Combinatorics","Hurdus","1.99","7.7","0","11.5","11.5","7.7","11.5","7.7","0","19.2","7.7","0","15.4","3","26","90667","  3"
"2018-19","Spring","MATH","3134","Applied Combinatorics","Clemons","2.78","23.1","3.8","19.2","11.5","0","19.2","11.5","3.8","0","0","0","7.7","3","26","16040","  3"
"2018-19","Spring","MATH","3134","Applied Combinatorics","Clemons","2.99","15.4","15.4","7.7","26.9","15.4","11.5","0","3.8","0","0","0","3.8","2","26","16044","  3"
"2019-20","Fall","MATH","3134","Applied Combinatorics","Hammer","2.79","19.2","11.5","7.7","7.7","3.8","30.8","3.8","7.7","3.8","3.8","0","0","2","26","86151","  3"
"2019-20","Spring","MATH","3134","Applied Combinatorics","Withrow","3.65","38.5","34.6","11.5","11.5","3.8","0","0","0","0","0","0","0","0","26","16466","  3"
"2020-21","Spring","MATH","3134","Applied Combinatorics","Hammer","2.87","11.5","11.5","11.5","34.6","11.5","3.8","0","3.8","7.7","0","0","3.8","3","26","21094","  3"
"2022-23","Spring","MATH","3134","Applied Combinatorics","Steiner","2.55","11.5","7.7","3.8","19.2","7.7","15.4","19.2","7.7","0","0","3.8","3.8","0","26","17359","  3"
"2019-20","Fall","MATH","3134","Applied Combinatorics","Hammer","2.85","22.2","7.4","11.1","22.2","3.7","11.1","3.7","7.4","7.4","0","0","3.7","3","27","86150","  3"
"2021-22","Fall","MATH","3134","Applied Combinatorics","Hammer","2.72","29.6","11.1","7.4","7.4","0","3.7","14.8","7.4","3.7","7.4","3.7","3.7","4","27","86897","  3"
"2021-22","Spring","MATH","3134","Applied Combinatorics","Hammer","2.87","14.8","11.1","18.5","14.8","3.7","11.1","14.8","3.7","7.4","0","0","0","3","27","17145","  3"
"2021-22","Spring","MATH","3134","Applied Combinatorics","Withrow","2.83","29.6","14.8","7.4","3.7","0","7.4","14.8","14.8","0","0","3.7","3.7","2","27","17146","  3"
"2022-23","Fall","MATH","3134","Applied Combinatorics","Steiner","2.46","11.1","3.7","14.8","7.4","18.5","11.1","7.4","3.7","3.7","14.8","0","3.7","1","27","87203","  3"
"2022-23","Spring","MATH","3134","Applied Combinatorics","Hammer","2.71","14.8","7.4","3.7","22.2","25.9","3.7","3.7","7.4","0","7.4","0","3.7","1","27","17356","  3"
"2018-19","Fall","MATH","3134","Applied Combinatorics","Ufferman","2.84","25","10.7","3.6","28.6","7.1","3.6","0","7.1","0","0","10.7","3.6","1","28","85848","  3"
"2020-21","Spring","MATH","3134","Applied Combinatorics","Hammer","2.5","3.6","10.7","14.3","21.4","10.7","3.6","14.3","3.6","7.1","3.6","0","7.1","4","28","17010","  3"
"2021-22","Spring","MATH","3134","Applied Combinatorics","Withrow","2.93","32.1","7.1","3.6","14.3","10.7","3.6","17.9","3.6","3.6","0","0","3.6","4","28","17141","  3"
"2022-23","Fall","MATH","3134","Applied Combinatorics","Nicolas","2.6","14.3","17.9","7.1","3.6","10.7","7.1","17.9","7.1","7.1","0","0","7.1","3","28","87194","  3"
"2022-23","Fall","MATH","3134","Applied Combinatorics","Hammer","2.81","21.4","3.6","7.1","10.7","21.4","17.9","10.7","3.6","0","0","0","3.6","4","28","87202","  3"
"2022-23","Spring","MATH","3134","Applied Combinatorics","Withrow","3.27","28.6","25","10.7","7.1","10.7","3.6","7.1","7.1","0","0","0","0","1","28","17358","  3"
"2022-23","Spring","MATH","3134","Applied Combinatorics","Hammer","2.9","21.4","25","10.7","3.6","10.7","0","7.1","7.1","3.6","3.6","3.6","3.6","3","28","17362","  3"
"2018-19","Spring","MATH","3134","Applied Combinatorics","Ufferman","3.07","24.1","17.2","20.7","10.3","3.4","3.4","13.8","0","0","0","3.4","3.4","5","29","16039","  3"
"2021-22","Spring","MATH","3134","Applied Combinatorics","Clemons","3.08","48.3","3.4","10.3","6.9","6.9","0","6.9","3.4","6.9","0","0","6.9","1","29","17137","  3"
"2021-22","Spring","MATH","3134","Applied Combinatorics","Steiner","3","34.5","17.2","6.9","6.9","10.3","6.9","0","0","3.4","6.9","0","6.9","1","29","17138","  3"
"2021-22","Spring","MATH","3134","Applied Combinatorics","Nicolas","2.69","27.6","6.9","10.3","10.3","6.9","3.4","10.3","3.4","3.4","3.4","10.3","3.4","2","29","17140","  3"
"2022-23","Fall","MATH","3134","Applied Combinatorics","Nicolas","2.5","17.2","3.4","6.9","13.8","6.9","3.4","27.6","6.9","3.4","3.4","3.4","3.4","2","29","87195","  3"
